𤭢	〔亠瓦ww〕
含	〔𠆢口rk〕
涵	〔氵{水}du〕
翰	〔十习ux〕
憾	〔忄心xx〕
罕	〔⺳干bg〕
撼	〔扌心fx〕
悍	〔忄干xg〕
瀚	〔氵习dx〕
函	〔凵{水}ku〕
憨	〔{⿱𠃍耳}心ex〕
旱	〔日干og〕
酣	〔酉甘yg〕
颔	〔𠆢页ry〕
邯	〔甘⻏ge〕
捍	〔扌干fg〕
鼾	〔自干zg〕
晗	〔日口ok〕
菡	〔艹{水}cu〕
焊	〔火干hg〕
顸	〔干页gy〕
邗	〔干⻏ge〕
焓	〔火口hk〕
蚶	〔虫甘ig〕
扞	〔扌干fg〕
撖	〔扌攵fw〕
暵	〔日天ot〕
浛	〔氵口dk〕
琀	〔𤣩口wk〕
㘎	〔口攵kw〕
垾	〔土干tg〕
崡	〔山{水}uu〕
嵅	〔山口uk〕
蔊	〔艹干cg〕
行	〔彳丁rd〕
航	〔舟几vj〕
杭	〔木几mj〕
沆	〔氵几dj〕
颃	〔亠页wy〕
绗	〔纟丁sd〕
吭	〔口几kj〕
巷	〔共巳gs〕
好	〔女子nz〕
号	〔口丂kk〕
毫	〔亠毛wm〕
豪	〔亠豕wu〕
浩	〔氵口dk〕
耗	〔耒毛lm〕
昊	〔日天ot〕
郝	〔赤⻏ie〕
嚎	〔口豕ku〕
皓	〔白口bk〕
壕	〔土豕tu〕
嗥	〔口十ku〕
颢	〔日页oy〕
濠	〔氵豕du〕
蒿	〔艹口ck〕
灏	〔氵页dy〕
貉	〔豸口vk〕
蚝	〔虫毛im〕
薅	〔艹寸cc〕
皞	〔白十bu〕
淏	〔氵天dt〕
嚆	〔口口kk〕
鄗	〔亠⻏we〕
和	〔禾口hk〕
何	〔亻可rk〕
喝	〔口人kr〕
呵	〔口可kk〕
河	〔氵可dk〕
赫	〔赤赤ii〕
核	〔木人mr〕
贺	〔力贝lb〕
盒	〔𠆢皿rm〕
荷	〔艹可ck〕
鹤	〔冖鸟bn〕
禾	〔丿木pm〕
褐	〔衤人pr〕
嗬	〔口可kk〕
壑	〔⺊土bt〕
阖	〔门皿mm〕
吓	〔口下kx〕
涸	〔氵古dg〕
劾	〔亠力wl〕
颌	〔𠆢页ry〕
阂	〔门人mr〕
诃	〔讠可yk〕
郃	〔𠆢⻏re〕
纥	〔纟乙sv〕
龢	〔𠆢禾rh〕
鞨	〔革人gr〕
翮	〔鬲习gx〕
曷	〔曰人or〕
龁	〔止乙vv〕
盍	〔去皿qm〕
菏	〔艹可ck〕
盉	〔禾皿hm〕
饸	〔饣口uk〕
熇	〔火口hk〕
鹖	〔曰鸟on〕
翯	〔习口xk〕
垎	〔土口tk〕
隺	〔冖{隹右}bv〕
𬌗	〔牙口yk〕
黑	〔{里}灬lh〕
嘿	〔口灬kh〕
𬭶	〔钅灬jh〕
很	〔彳艮rg〕
狠	〔犭艮qg〕
恨	〔忄艮xg〕
痕	〔疒艮bg〕
𬣳	〔讠艮yg〕
哼	〔口了kl〕
横	〔木黄mh〕
衡	〔彳大rd〕
恒	〔忄旦xd〕
亨	〔亠了wl〕
蘅	〔艹大cd〕
珩	〔𤣩丁wd〕
姮	〔女旦nd〕
桁	〔木丁md〕
鸻	〔彳鸟rn〕
堼	〔土土tt〕
红	〔纟工sg〕
轰	〔车又iy〕
洪	〔氵共dg〕
虹	〔虫工ig〕
宏	〔宀厶bs〕
鸿	〔氵鸟dn〕
哄	〔口共kg〕
弘	〔弓厶gs〕
烘	〔火共hg〕
泓	〔氵厶ds〕
闳	〔门厶ms〕
讧	〔讠工yg〕
薨	〔艹匕cb〕
訇	〔勹口bk〕
荭	〔艹工cg〕
纮	〔纟厶ss〕
吽	〔口牛kn〕
竑	〔立厶ls〕
蕻	〔艹共cg〕
翃	〔𠂇习ux〕
黉	〔𰃮黄xh〕
唝	〔口贝kb〕
玒	〔𤣩工wg〕
谼	〔谷共gg〕
𫟹	〔钅共jg〕
𬭎	〔钅厶js〕
后	〔𠂆口ik〕
候	〔亻矢ru〕
厚	〔厂子iz〕
吼	〔口乚kv〕
侯	〔亻矢ru〕
猴	〔犭矢qu〕
喉	〔口矢ku〕
逅	〔辶口zk〕
篌	〔竹矢vu〕
瘊	〔疒矢bu〕
鲎	〔𰃮鱼xy〕
堠	〔土矢tu〕
垕	〔𠂆土it〕
齁	〔自句zj〕
骺	〔冎口gk〕
糇	〔米矢mu〕
郈	〔𠂆⻏ie〕
鲘	〔鱼口yk〕
𬭤	〔钅矢ju〕
乎	〔丿亅pl〕
呼	〔口乎kh〕
忽	〔勿心wx〕
护	〔扌户fh〕
胡	〔古月go〕
虎	〔虍几hj〕
湖	〔氵月do〕
糊	〔米月mo〕
户	〔丶尸du〕
互	〔一彑ah〕
狐	〔犭瓜qg〕
壶	〔士业ty〕
蝴	〔虫月io〕
惚	〔忄心xx〕
弧	〔弓瓜gg〕
唬	〔口几kj〕
葫	〔艹月co〕
沪	〔氵户dh〕
扈	〔户巴hb〕
瑚	〔𤣩月wo〕
琥	〔𤣩几wj〕
浒	〔氵十du〕
斛	〔⺈斗dd〕
囫	〔囗勿kw〕
祜	〔礻古pg〕
醐	〔酉月yo〕
唿	〔口心kx〕
猢	〔犭月qo〕
笏	〔竹勿vw〕
瓠	〔大瓜dg〕
槲	〔木斗md〕
怙	〔忄古xg〕
煳	〔火月ho〕
鹕	〔古鸟gn〕
滹	〔氵乎dh〕
觳	〔士殳tu〕
岵	〔山古ug〕
烀	〔火乎hh〕
鄠	〔雨⻏ye〕
戽	〔户斗hd〕
縠	〔士殳tu〕
冱	〔冫互dh〕
鹱	〔{鸟减一}又ny〕
淴	〔氵心dx〕
昒	〔日勿ow〕
鳠	〔鱼又yy〕
嫭	〔女乎nh〕
轷	〔车乎ih〕
昈	〔日户oh〕
话	〔讠舌yu〕
花	〔艹𠤎cb〕
化	〔亻𠤎rb〕
华	〔亻十ru〕
划	〔戈刂gd〕
画	〔一田at〕
滑	〔氵⺼do〕
哗	〔口十ku〕
猾	〔犭⺼qo〕
桦	〔木十mu〕
骅	〔马十mu〕
婳	〔女田nt〕
铧	〔钅十ju〕
砉	〔丰石fu〕
觟	〔⺈土dt〕
坏	〔土不tb〕
怀	〔忄不xb〕
淮	〔氵{隹右}dv〕
槐	〔木鬼mg〕
徊	〔彳口rk〕
踝	〔𧾷果zg〕
换	〔扌大fd〕
缓	〔纟又sy〕
环	〔𤣩不wb〕
幻	〔幺𠃌yv〕
唤	〔口大kd〕
欢	〔又欠yq〕
患	〔串心ix〕
焕	〔火大hd〕
桓	〔木旦md〕
鬟	〔E𧘇ey〕
宦	〔宀臣bi〕
寰	〔宀𧘇by〕
浣	〔氵元dy〕
痪	〔疒大bd〕
涣	〔氵大dd〕
奂	〔⺈大dd〕
圜	〔囗𧘇ky〕
豢	〔龹豕ju〕
獾	〔犭{隹右}qv〕
洹	〔氵旦dd〕
嬛	〔女𧘇ny〕
缳	〔纟𧘇sy〕
萑	〔艹{隹右}cv〕
鲩	〔鱼元yy〕
郇	〔勹⻏be〕
漶	〔氵心dx〕
逭	〔辶㠯zl〕
擐	〔扌𧘇fy〕
锾	〔钅又jy〕
镮	〔钅𧘇jy〕
澴	〔氵𧘇dy〕
鹮	〔⺫鸟sn〕
貆	〔豸旦vd〕
峘	〔山旦ud〕
㬊	〔日又oy〕
荁	〔艹旦cd〕
𤩽	〔𤣩犬wq〕
𬘫	〔纟元sy〕
黄	〔卄八cb〕
皇	〔白王bw〕
晃	〔日儿oe〕
慌	〔忄𫶧xi〕
荒	〔艹𫶧ci〕
恍	〔忄儿xe〕
谎	〔讠𫶧yi〕
惶	〔忄王xw〕
凰	〔⺇王jw〕
煌	〔火王hw〕
簧	〔竹黄vh〕
徨	〔彳王rw〕
蝗	〔虫王iw〕
幌	〔巾儿je〕
潢	〔氵黄dh〕
璜	〔𤣩黄wh〕
遑	〔辶王zw〕
磺	〔石黄uh〕
隍	〔⻖王ew〕
肓	〔亡⺝wo〕
湟	〔氵王dw〕
蟥	〔虫黄ih〕
篁	〔竹王vw〕
鳇	〔鱼王yw〕
滉	〔氵儿de〕
喤	〔口王kw〕
癀	〔疒黄bh〕
锽	〔钅王jw〕
艎	〔舟王vw〕
瑝	〔𤣩王ww〕
媓	〔女王nw〕
㿠	〔白儿be〕
𨱑	〔钅黄jh〕
会	〔𠆢云ry〕
回	〔囗口kk〕
挥	〔扌车fi〕
灰	〔𠂇火uh〕
慧	〔丰心fx〕
辉	〔⺌车xi〕
恢	〔忄火xh〕
毁	〔臼殳ju〕
悔	〔忄母xm〕
惠	〔{惠-心}心ix〕
汇	〔氵匚dk〕
绘	〔纟云sy〕
徽	〔彳糸rx〕
讳	〔讠韦yw〕
晖	〔日车oi〕
晦	〔日母om〕
贿	〔贝月bo〕
秽	〔禾夕hx〕
卉	〔十廾uc〕
麾	〔广毛gm〕
诲	〔讠母ym〕
蕙	〔艹心cx〕
彗	〔丰彐fe〕
诙	〔讠火yh〕
喙	〔口𧰨ku〕
荟	〔艹云cy〕
烩	〔火云hy〕
虺	〔兀虫wi〕
蛔	〔虫口ik〕
珲	〔𤣩车wi〕
咴	〔口火kh〕
茴	〔艹口ck〕
恚	〔土心tx〕
洄	〔氵口dk〕
袆	〔衤韦pw〕
隳	〔⻖⺗ex〕
翚	〔习车xi〕
翙	〔山习ux〕
浍	〔氵云dy〕
蟪	〔虫心ix〕
硊	〔石㔾uv〕
橞	〔木心mx〕
哕	〔口夕kx〕
溃	〔氵贝db〕
㧑	〔扌为fw〕
烠	〔火月ho〕
𬤝	〔讠心yx〕
𬭬	〔钅彐je〕
混	〔氵匕db〕
婚	〔女日no〕
魂	〔云鬼yg〕
昏	〔氏日uo〕
浑	〔氵车di〕
荤	〔艹车ci〕
馄	〔饣匕ub〕
诨	〔讠车yi〕
阍	〔门日mo〕
溷	〔氵豕du〕
惛	〔忄日xo〕
碈	〔石日uo〕
或	〔戈{一}ga〕
活	〔氵舌du〕
火	〔丷人br〕
伙	〔亻火rh〕
获	〔艹犬cq〕
惑	〔戈心gx〕
货	〔亻贝rb〕
祸	〔礻内pn〕
霍	〔雨{隹右}yv〕
豁	〔宀谷bg〕
夥	〔果夕gx〕
嚯	〔口{隹右}kv〕
藿	〔艹{隹右}cv〕
镬	〔钅又jy〕
蠖	〔虫又iy〕
攉	〔扌{隹右}fv〕
钬	〔钅火jh〕
嚄	〔口又ky〕
锪	〔钅心jx〕
劐	〔艹刂cd〕
濩	〔氵又dy〕
耠	〔耒口lk〕
漷	〔氵⻏de〕
㸌	〔火{隹右}hv〕
佸	〔亻舌ru〕
𬴃	〔马石mu〕
级	〔纟及sj〕
集	〔亻木rm〕
几	〔丿㇈pv〕
及	〔丿乀pn〕
机	〔木几mj〕
记	〔讠己yj〕
季	〔禾子hz〕
击	〔𰀁凵fk〕
急	〔⺈心dx〕
鸡	〔又鸟yn〕
挤	〔扌齐fq〕
系	〔丿糸px〕
即	〔{艮}卩ge〕
既	〔{艮}旡gw〕
极	〔木及mj〕
计	〔讠十yu〕
激	〔氵攵dw〕
继	〔纟米sm〕
基	〔卄土ct〕
寄	〔宀可bk〕
忌	〔己心jx〕
己	〔コ乚kv〕
际	〔⻖示eu〕
纪	〔纟己sj〕
技	〔扌支fv〕
济	〔氵齐dq〕
迹	〔辶{亦下}zb〕
吉	〔士口tk〕
积	〔禾只hv〕
寂	〔宀又by〕
疾	〔疒矢bu〕
姬	〔女𦣞ni〕
绩	〔纟贝sb〕
祭	〔𱼀示xu〕
肌	〔⺼几oj〕
辑	〔车耳ie〕
籍	〔竹日vo〕
圾	〔土及tj〕
妓	〔女支nv〕
嫉	〔女矢nu〕
饥	〔饣几uj〕
剂	〔齐刂qd〕
奇	〔大可dk〕
脊	〔人⺝ro〕
稽	〔禾日ho〕
叽	〔口几kj〕
唧	〔口卩ke〕
讥	〔讠几yj〕
藉	〔艹日co〕
冀	〔北共bg〕
戟	〔十戈ug〕
棘	〔朿朿uu〕
缉	〔纟耳se〕
悸	〔忄子xz〕
羁	〔罒马sm〕
玑	〔𤣩几wj〕
伎	〔亻支rv〕
霁	〔雨齐yq〕
矶	〔石几uj〕
髻	〔E口ek〕
稷	〔禾夂hw〕
岌	〔山及uj〕
汲	〔氵及dj〕
畸	〔田可tk〕
笈	〔竹及vj〕
觊	〔山见uj〕
骥	〔马共mg〕
嵇	〔禾山hu〕
蓟	〔艹刂cd〕
箕	〔竹八vb〕
佶	〔亻口rk〕
瘠	〔疒⺝bo〕
畿	〔戈田gt〕
犄	〔牜可nk〕
亟	〔了一la〕
跻	〔𧾷齐zq〕
殛	〔歹亟da〕
暨	〔{艮}旦gd〕
鲫	〔鱼卩ye〕
偈	〔亻人rr〕
齑	〔齐韭qj〕
蒺	〔艹矢cu〕
芨	〔艹及cj〕
屐	〔尸支uv〕
荠	〔艹齐cq〕
楫	〔木耳me〕
赍	〔十贝ub〕
乩	〔占乚vv〕
麂	〔鹿几lj〕
笄	〔竹开vk〕
芰	〔艹支cv〕
墼	〔車土it〕
鹡	〔人鸟rn〕
剞	〔大刂dd〕
戢	〔口戈kg〕
虮	〔虫几ij〕
伋	〔亻及rj〕
垍	〔土自tz〕
掎	〔扌可fk〕
洎	〔氵自dz〕
跽	〔𧾷心zx〕
嵴	〔山⺝uo〕
鲚	〔鱼齐yq〕
蕺	〔艹戈cg〕
罽	〔罒刂sd〕
蹐	〔𧾷⺝zo〕
姞	〔女口nk〕
漈	〔氵示du〕
穄	〔禾示hu〕
耤	〔耒日lo〕
觭	〔⺈可dk〕
惎	〔卄心cx〕
期	〔卄月co〕
鱾	〔鱼己yj〕
㴔	〔氵心dx〕
堲	〔{艮}土gt〕
徛	〔彳可rk〕
枅	〔木开mk〕
瀱	〔氵刂dd〕
𪟝	〔龶力fl〕
𫌀	〔衤贝pb〕
𫓯	〔钅土jt〕
𫓹	〔钅八jb〕
𬯀	〔⻖齐eq〕
𬶨	〔{艮}鱼gy〕
𬶭	〔鱼示yu〕
家	〔宀豕bu〕
加	〔力口lk〕
价	〔亻介rj〕
假	〔亻又ry〕
架	〔力木lm〕
甲	〔田丨tl〕
佳	〔亻土rt〕
夹	〔一人ar〕
嘉	〔士口tk〕
嫁	〔女豕nu〕
驾	〔力马lm〕
颊	〔夹页jy〕
迦	〔辶口zk〕
茄	〔艹口ck〕
稼	〔禾豕hu〕
枷	〔木口mk〕
珈	〔𤣩口wk〕
袈	〔力衣ly〕
葭	〔艹又cy〕
浃	〔氵夹dj〕
胛	〔⺼甲oj〕
痂	〔疒口bk〕
笳	〔竹口vk〕
岬	〔山甲uj〕
槚	〔木贝mb〕
钾	〔钅甲jj〕
荚	〔艹夹cj〕
郏	〔夹⻏je〕
铗	〔钅夹jj〕
跏	〔𧾷口zk〕
蛱	〔虫夹ij〕
恝	〔丰心fx〕
斝	〔口斗kd〕
镓	〔钅豕ju〕
瘕	〔疒又by〕
泇	〔氵口dk〕
𬂩	〔木夹mj〕
见	〔冂儿ke〕
间	〔门日mo〕
剑	〔佥刂qd〕
件	〔亻牛rn〕
建	〔廴聿zy〕
键	〔钅聿jy〕
渐	〔氵斤dj〕
简	〔竹日vo〕
坚	〔丨土lt〕
肩	〔户⺝ho〕
箭	〔竹刂vd〕
舰	〔舟见vj〕
尖	〔小大xd〕
监	〔丨皿lm〕
健	〔亻聿ry〕
检	〔木佥mq〕
减	〔冫口dk〕
奸	〔女干ng〕
艰	〔又艮yg〕
兼	〔丷八bb〕
鉴	〔丨金lj〕
贱	〔贝戋bj〕
捡	〔扌佥fq〕
剪	〔丷刀bd〕
溅	〔氵戋dj〕
践	〔𧾷戋zj〕
荐	〔艹子cz〕
歼	〔歹千dq〕
拣	〔扌𫠣fd〕
煎	〔丷灬bh〕
俭	〔亻佥rq〕
涧	〔氵日do〕
茧	〔艹虫ci〕
谏	〔讠柬yj〕
柬	〔十人ur〕
笺	〔竹戋vj〕
缄	〔纟口sk〕
戬	〔亚戈yg〕
锏	〔钅日jo〕
碱	〔石口uk〕
睑	〔目佥oq〕
翦	〔丷习bx〕
饯	〔饣戋uj〕
蹇	〔宀足bz〕
僭	〔亻曰ro〕
菅	〔艹㠯cl〕
毽	〔毛聿my〕
腱	〔⺼聿oy〕
謇	〔宀口bk〕
蒹	〔艹兼cj〕
戋	〔戈一ga〕
槛	〔木皿mm〕
鞯	〔革子gz〕
笕	〔竹见vj〕
鹣	〔兼鸟jn〕
搛	〔扌兼fj〕
缣	〔纟兼sj〕
鞬	〔革聿gy〕
湔	〔氵刂dd〕
裥	〔衤日po〕
枧	〔木见mj〕
鲣	〔鱼土yt〕
趼	〔𧾷开zk〕
谫	〔讠刀yd〕
踺	〔𧾷聿zy〕
楗	〔木聿my〕
暕	〔日柬oj〕
牮	〔亻牛rn〕
篯	〔竹戋vj〕
犍	〔牜聿ny〕
鳒	〔鱼兼yj〕
𬣡	〔讠戋yj〕
将	〔丬寸lc〕
江	〔氵工dg〕
讲	〔讠井yj〕
降	〔⻖㐄ef〕
蒋	〔艹寸cc〕
奖	〔丬大ld〕
僵	〔亻畺rj〕
姜	〔𦍌女yn〕
疆	〔弓畺gj〕
匠	〔匚斤kj〕
浆	〔丬水lu〕
酱	〔丬酉ly〕
缰	〔纟畺sj〕
绛	〔纟㐄sf〕
桨	〔丬木lm〕
犟	〔弓牛gn〕
糨	〔米虫mi〕
豇	〔豆工dg〕
茳	〔艹工cg〕
礓	〔石畺uj〕
洚	〔氵㐄df〕
耩	〔耒冉lr〕
膙	〔⺼虫oi〕
鳉	〔鱼寸yc〕
弶	〔弓小gx〕
强	〔弓虫gi〕
叫	〔口丩kj〕
教	〔耂攵lw〕
交	〔亠父wf〕
脚	〔⺼卩oe〕
角	〔⺈用dy〕
较	〔车父if〕
娇	〔女{⿰丿丨}nl〕
焦	〔亻灬rh〕
骄	〔马{⿰丿丨}ml〕
轿	〔车{⿰丿丨}il〕
搅	〔扌见fj〕
狡	〔犭父qf〕
郊	〔亠⻏we〕
胶	〔⺼父of〕
觉	〔𰃮见xj〕
嚼	〔口寸kc〕
绞	〔纟父sf〕
剿	〔巛刂vd〕
浇	〔氵兀dw〕
缴	〔纟攵sw〕
蛟	〔虫父if〕
椒	〔木又my〕
侥	〔亻兀rw〕
矫	〔矢{⿰丿丨}ul〕
饺	〔饣父uf〕
蕉	〔艹灬ch〕
校	〔木父mf〕
礁	〔石灬uh〕
皎	〔白父bf〕
窖	〔宀口bk〕
跤	〔𧾷父zf〕
佼	〔亻父rf〕
姣	〔女父nf〕
酵	〔酉子yz〕
鲛	〔鱼父yf〕
艽	〔艹九cj〕
湫	〔氵火dh〕
醮	〔酉灬yh〕
铰	〔钅父jf〕
峤	〔山{⿰丿丨}ul〕
茭	〔艹父cf〕
徼	〔彳方rf〕
鹪	〔亻鸟rn〕
敫	〔白攵bw〕
噍	〔口灬kh〕
僬	〔亻灬rh〕
峧	〔山父uf〕
滘	〔氵口dk〕
燋	〔火灬hh〕
藠	〔艹白cb〕
皦	〔白攵bw〕
斠	〔𠀎斗fd〕
璬	〔𤣩攵ww〕
皭	〔白寸bc〕
恔	〔忄父xf〕
䴔	〔亠鸟wn〕
漖	〔氵攵dw〕
接	〔扌女fn〕
解	〔⺈牛dn〕
姐	〔女且nq〕
结	〔纟口sk〕
界	〔田介tj〕
节	〔艹𰆊ce〕
杰	〔木灬mh〕
街	〔彳土rt〕
借	〔亻日ro〕
介	〔𠆢{⿰丿丨}rl〕
阶	〔⻖介ej〕
洁	〔氵口dk〕
戒	〔戈廾gc〕
皆	〔匕白bb〕
劫	〔去力ql〕
截	〔戈{隹右}gv〕
捷	〔扌龰fz〕
揭	〔扌人fr〕
竭	〔立人lr〕
届	〔尸由uy〕
婕	〔女龰nz〕
睫	〔目龰oz〕
诫	〔讠廾yc〕
桀	〔夕木xm〕
芥	〔艹介cj〕
桔	〔木口mk〕
诘	〔讠口yk〕
颉	〔士页ty〕
嗟	〔口工kg〕
孑	〔了㇀la〕
羯	〔羊人yr〕
拮	〔扌口fk〕
秸	〔禾口hk〕
玠	〔𤣩介wj〕
碣	〔石人ur〕
讦	〔讠干yg〕
疥	〔疒介bj〕
喈	〔口白kb〕
蚧	〔虫介ij〕
疖	〔疒𰆊be〕
絜	〔丰糸fx〕
檞	〔木牛mn〕
劼	〔士力tl〕
骱	〔冎介gj〕
鲒	〔鱼口yk〕
褯	〔衤巾pj〕
湝	〔氵白db〕
岊	〔巴山bu〕
楷	〔木白mb〕
㛃	〔丰女fn〕
悈	〔忄廾xc〕
蜐	〔虫力il〕
进	〔⻌井zj〕
今	〔𠆢㇇rv〕
金	〔𠆢丷rb〕
紧	〔丨糸lx〕
近	〔辶斤zj〕
尽	〔尺⺀id〕
仅	〔亻又ry〕
禁	〔木示mu〕
劲	〔𢀖力jl〕
锦	〔钅巾jj〕
巾	〔冂丨kl〕
筋	〔竹力vl〕
津	〔氵聿dy〕
晋	〔亚日yo〕
斤	〔𠂆丨il〕
谨	〔讠王yw〕
浸	〔氵又dy〕
襟	〔衤示pu〕
矜	〔矛㇇mv〕
瑾	〔𤣩王ww〕
烬	〔火⺀hd〕
靳	〔革斤gj〕
噤	〔口示ku〕
觐	〔廿见cj〕
妗	〔女㇇nv〕
缙	〔纟日so〕
堇	〔廿王cw〕
槿	〔木王mw〕
衿	〔衤㇇pv〕
荩	〔艹⺀cd〕
馑	〔饣王uw〕
卺	〔了㔾lv〕
瑨	〔𤣩日wo〕
廑	〔广王gw〕
琎	〔𤣩井wj〕
赆	〔贝⺀bd〕
溍	〔氵日do〕
祲	〔礻又py〕
浕	〔氵⺀dd〕
墐	〔土王tw〕
殣	〔歹王dw〕
珒	〔𤣩聿wy〕
𬬱	〔钅斤jj〕
经	〔纟𢀖sj〕
惊	〔忄小xx〕
竟	〔立儿le〕
静	〔龶{肀亅}fy〕
精	〔米⺝mo〕
睛	〔目⺝oo〕
警	〔艹口ck〕
京	〔亠小wx〕
境	〔土儿te〕
景	〔日小ox〕
敬	〔艹攵cw〕
镜	〔钅儿je〕
晶	〔日日oo〕
净	〔冫{肀亅}dy〕
径	〔彳𢀖rj〕
竞	〔立兄lx〕
井	〔廾一ca〕
靖	〔立⺝lo〕
荆	〔艹刂cd〕
菁	〔艹⺝co〕
阱	〔⻖井ej〕
兢	〔十兄ux〕
憬	〔忄小xx〕
婧	〔女⺝no〕
鲸	〔鱼小yx〕
茎	〔艹𢀖cj〕
丼	〔井丶jd〕
旌	〔方生fu〕
痉	〔疒𢀖bj〕
泾	〔氵𢀖dj〕
迳	〔辶𢀖zj〕
璟	〔𤣩小wx〕
胫	〔⺼𢀖oj〕
儆	〔亻攵rw〕
靓	〔龶见fj〕
粳	〔米更mg〕
獍	〔犭儿qe〕
刭	〔𢀖刂jd〕
腈	〔⺼⺝oo〕
肼	〔⺼井oj〕
倞	〔亻小rx〕
璥	〔𤣩攵ww〕
麖	〔鹿小lx〕
鼱	〔臼⺝jo〕
猄	〔犭小qx〕
䴖	〔龶鸟fn〕
汫	〔氵井dj〕
竫	〔立{肀亅}ly〕
囧	〔囗{囗-一}kk〕
炯	〔火口hk〕
窘	〔宀口bk〕
迥	〔辶口zk〕
颎	〔匕页by〕
扃	〔户口hk〕
冏	〔冂口kk〕
坰	〔土口tk〕
泂	〔氵口dk〕
䌹	〔⺰口sk〕
𬳶	〔马口mk〕
就	〔亠尤wy〕
酒	〔氵酉dy〕
久	〔⺈乀dn〕
九	〔丿㇈pv〕
究	〔宀九bj〕
救	〔求攵qw〕
旧	〔丨日lo〕
舅	〔臼力jl〕
纠	〔纟丩sj〕
疚	〔疒久bj〕
揪	〔扌火fh〕
咎	〔夂口wk〕
鹫	〔亠鸟wn〕
鸠	〔九鸟jn〕
啾	〔口火kh〕
臼	〔丿一pa〕
灸	〔久火jh〕
赳	〔土丩tj〕
厩	〔厂旡iw〕
柩	〔木久mj〕
玖	〔𤣩久wj〕
韭	〔非一fa〕
阄	〔门电md〕
僦	〔亻尤ry〕
鬏	〔E火eh〕
桕	〔木臼mj〕
氿	〔氵九dj〕
㠇	〔山尤uy〕
巨	〔匚コkk〕
举	〔𭕄𰀁xf〕
居	〔尸古ug〕
局	〔尸口uk〕
具	〔{具-八}八qb〕
据	〔扌古fg〕
聚	〔耳{水}eu〕
剧	〔尸刂ud〕
距	〔𧾷巨zj〕
惧	〔忄八xb〕
拒	〔扌巨fj〕
俱	〔亻八rb〕
矩	〔矢巨uj〕
菊	〔艹米cm〕
拘	〔扌句fj〕
沮	〔氵且dq〕
鞠	〔革米gm〕
狙	〔犭且qq〕
橘	〔木口mk〕
驹	〔马句mj〕
飓	〔风八fb〕
锯	〔钅古jg〕
咀	〔口且kq〕
踞	〔𧾷古zg〕
炬	〔火巨hj〕
掬	〔扌米fm〕
遽	〔辶豕zu〕
倨	〔亻古rg〕
雎	〔且{隹右}qv〕
钜	〔钅巨jj〕
踽	〔𧾷禹zy〕
裾	〔衤古pg〕
琚	〔𤣩古wg〕
疽	〔疒且bq〕
莒	〔艹口ck〕
車	〔十十uu〕
龃	〔止且vq〕
苣	〔艹巨cj〕
榉	〔木𰀁mf〕
讵	〔讠巨yj〕
苴	〔艹且cq〕
鞫	〔革口gk〕
焗	〔火口hk〕
椐	〔木古mg〕
锔	〔钅口jk〕
筥	〔竹口vk〕
屦	〔尸女un〕
窭	〔宀女bn〕
醵	〔酉豕yu〕
蒟	〔艹句cj〕
犋	〔牜八nb〕
澽	〔氵豕du〕
娵	〔女又ny〕
秬	〔禾巨hj〕
崌	〔山古ug〕
岠	〔山巨uj〕
砠	〔石且uq〕
腒	〔⺼古og〕
弆	〔去廾qc〕
泃	〔氵句dj〕
岨	〔山且uq〕
趄	〔土且tq〕
䴗	〔目鸟on〕
𬶋	〔鱼句yj〕
卷	〔龹㔾jv〕
娟	〔女⺝no〕
倦	〔亻㔾rv〕
捐	〔扌⺝fo〕
眷	〔龹目jo〕
绢	〔纟⺝so〕
鹃	〔口鸟kn〕
涓	〔氵⺝do〕
圈	〔囗㔾kv〕
隽	〔亻乃rn〕
镌	〔钅乃jn〕
蠲	〔丷虫bi〕
狷	〔犭⺝qo〕
鄄	〔覀⻏xe〕
锩	〔钅㔾jv〕
桊	〔龹木jm〕
焆	〔火⺝ho〕
绝	〔纟巴sb〕
决	〔冫夬dg〕
爵	〔爫寸vc〕
诀	〔讠夬yg〕
掘	〔扌出fi〕
厥	〔厂欠iq〕
倔	〔亻出ri〕
撅	〔扌欠fq〕
珏	〔𤣩玉wy〕
崛	〔山出ui〕
抉	〔扌夬fg〕
噘	〔口欠kq〕
攫	〔扌又fy〕
谲	〔讠口yk〕
獗	〔犭欠qq〕
蹶	〔𧾷欠zq〕
傕	〔亻{隹右}rv〕
蕨	〔艹欠cq〕
矍	〔目又oy〕
橛	〔木欠mq〕
镢	〔钅欠jq〕
玦	〔𤣩夬wg〕
孓	〔了乀ln〕
桷	〔木用my〕
觖	〔⺈夬dg〕
爝	〔火寸hc〕
劂	〔厂刂id〕
玃	〔犭又qy〕
砄	〔石夬ug〕
㵐	〔氵欠dq〕
𫔎	〔钅口jk〕
𫘝	〔马夬mg〕
均	〔土匀ty〕
君	〔尹口yk〕
军	〔冖车bi〕
俊	〔亻夂rw〕
郡	〔尹⻏ye〕
峻	〔山夂uw〕
钧	〔钅匀jy〕
骏	〔马夂mw〕
菌	〔艹禾ch〕
竣	〔立夂lw〕
浚	〔氵夂dw〕
珺	〔𤣩口wk〕
麇	〔鹿禾lh〕
皲	〔冖皮bp〕
焌	〔火夂hw〕
葰	〔艹夂cw〕
捃	〔扌口fk〕
畯	〔田夂tw〕
莙	〔艹口ck〕
晙	〔日夂ow〕
筠	〔竹匀vy〕
鲪	〔鱼口yk〕
