serial number	character	token	ferquency(pre million)	total coverage rate(%)
5188	卅	1019	0.53679 	99.95662 
5189	茏	1018	0.53626 	99.95667 
5190	艄	1018	0.53626 	99.95672 
5191	苡	1018	0.53626 	99.95678 
5192	辚	1017	0.53574 	99.95683 
5193	囹	1017	0.53574 	99.95688 
5194	撷	1015	0.53468 	99.95694 
5195	伥	1014	0.53416 	99.95699 
5196	毐	1013	0.53363 	99.95704 
5197	疟	1012	0.53310 	99.95710 
5198	骓	1012	0.53310 	99.95715 
5199	筌	1011	0.53258 	99.95720 
5200	屐	1002	0.52783 	99.95726 
5201	猁	998	0.52573 	99.95731 
5202	靈	998	0.52573 	99.95736 
5203	傩	994	0.52362 	99.95741 
5204	帶	992	0.52257 	99.95747 
5205	疽	992	0.52257 	99.95752 
5206	珙	990	0.52151 	99.95757 
5207	貊	990	0.52151 	99.95762 
5208	诟	987	0.51993 	99.95767 
5209	剛	981	0.51677 	99.95773 
5210	鬣	981	0.51677 	99.95778 
5211	鼐	981	0.51677 	99.95783 
5212	獭	975	0.51361 	99.95788 
5213	嗞	975	0.51361 	99.95793 
5214	獾	974	0.51308 	99.95798 
5215	洮	974	0.51308 	99.95804 
5216	邛	971	0.51150 	99.95809 
5217	赅	969	0.51045 	99.95814 
5218	黒	969	0.51045 	99.95819 
5219	擤	969	0.51045 	99.95824 
5220	稗	965	0.50834 	99.95829 
5221	咴	965	0.50834 	99.95834 
5222	楂	964	0.50782 	99.95839 
5223	氮	963	0.50729 	99.95844 
5224	竽	963	0.50729 	99.95849 
5225	箓	962	0.50676 	99.95854 
5226	勐	960	0.50571 	99.95859 
5227	谔	958	0.50466 	99.95865 
5228	碣	958	0.50466 	99.95870 
5229	铧	952	0.50150 	99.95875 
5230	逑	952	0.50150 	99.95880 
5231	郾	952	0.50150 	99.95885 
5232	铆	951	0.50097 	99.95890 
5233	師	951	0.50097 	99.95895 
5234	褡	950	0.50044 	99.95900 
5235	滁	949	0.49992 	99.95905 
5236	陂	947	0.49886 	99.95910 
5237	喁	945	0.49781 	99.95915 
5238	矠	944	0.49728 	99.95920 
5239	湫	943	0.49675 	99.95925 
5240	蚺	940	0.49517 	99.95929 
5241	钨	939	0.49465 	99.95934 
5242	钲	939	0.49465 	99.95939 
5243	綮	938	0.49412 	99.95944 
5244	噹	937	0.49359 	99.95949 
5245	蕲	937	0.49359 	99.95954 
5246	遴	936	0.49307 	99.95959 
5247	舛	934	0.49201 	99.95964 
5248	荠	931	0.49043 	99.95969 
5249	玕	930	0.48991 	99.95974 
5250	稞	928	0.48885 	99.95979 
5251	阄	926	0.48780 	99.95984 
5252	荚	923	0.48622 	99.95988 
5253	媪	921	0.48517 	99.95993 
5254	鎏	919	0.48411 	99.95998 
5255	笏	918	0.48358 	99.96003 
5256	迡	918	0.48358 	99.96008 
5257	悒	918	0.48358 	99.96013 
5258	晷	917	0.48306 	99.96017 
5259	郗	917	0.48306 	99.96022 
5260	宥	916	0.48253 	99.96027 
5261	戰	916	0.48253 	99.96032 
5262	豸	915	0.48200 	99.96037 
5263	摈	914	0.48148 	99.96042 
5264	儋	911	0.47990 	99.96046 
5265	葶	910	0.47937 	99.96051 
5266	瑸	906	0.47726 	99.96056 
5267	愛	905	0.47674 	99.96061 
5268	凫	904	0.47621 	99.96066 
5269	阡	899	0.47358 	99.96070 
5270	蚨	898	0.47305 	99.96075 
5271	粕	898	0.47305 	99.96080 
5272	猗	898	0.47305 	99.96084 
5273	纛	894	0.47094 	99.96089 
5274	畲	890	0.46883 	99.96094 
5275	睇	889	0.46831 	99.96099 
5276	滿	888	0.46778 	99.96103 
5277	難	888	0.46778 	99.96108 
5278	洇	888	0.46778 	99.96113 
5279	醮	886	0.46673 	99.96117 
5280	裏	886	0.46673 	99.96122 
5281	虢	885	0.46620 	99.96127 
5282	龍	885	0.46620 	99.96131 
5283	癣	885	0.46620 	99.96136 
5284	葻	883	0.46515 	99.96141 
5285	珐	878	0.46251 	99.96145 
5286	酆	878	0.46251 	99.96150 
5287	內	878	0.46251 	99.96154 
5288	诒	878	0.46251 	99.96159 
5289	踯	878	0.46251 	99.96164 
5290	颎	877	0.46199 	99.96168 
5291	馏	876	0.46146 	99.96173 
5292	莛	876	0.46146 	99.96177 
5293	髭	876	0.46146 	99.96182 
5294	龈	875	0.46093 	99.96187 
5295	锒	873	0.45988 	99.96191 
5296	钯	872	0.45935 	99.96196 
5297	楹	872	0.45935 	99.96201 
5298	贽	871	0.45883 	99.96205 
5299	菖	870	0.45830 	99.96210 
5300	灞	868	0.45725 	99.96214 
5301	虻	868	0.45725 	99.96219 
5302	苌	866	0.45619 	99.96223 
5303	聽	866	0.45619 	99.96228 
5304	躅	865	0.45567 	99.96233 
5305	牝	864	0.45514 	99.96237 
5306	钎	863	0.45461 	99.96242 
5307	珺	861	0.45356 	99.96246 
5308	畦	861	0.45356 	99.96251 
5309	欤	860	0.45303 	99.96255 
5310	桁	859	0.45250 	99.96260 
5311	腩	859	0.45250 	99.96264 
5312	吖	854	0.44987 	99.96269 
5313	該	854	0.44987 	99.96273 
5314	屍	853	0.44934 	99.96278 
5315	蠹	852	0.44882 	99.96282 
5316	眬	850	0.44776 	99.96287 
5317	夢	847	0.44618 	99.96291 
5318	張	847	0.44618 	99.96296 
5319	瓤	846	0.44566 	99.96300 
5320	淝	843	0.44408 	99.96305 
5321	鸶	843	0.44408 	99.96309 
5322	亳	842	0.44355 	99.96313 
5323	應	841	0.44302 	99.96318 
5324	楫	840	0.44250 	99.96322 
5325	薨	839	0.44197 	99.96327 
5326	訇	837	0.44092 	99.96331 
5327	祂	837	0.44092 	99.96335 
5328	镊	836	0.44039 	99.96340 
5329	陟	836	0.44039 	99.96344 
5330	炰	834	0.43934 	99.96349 
5331	靜	832	0.43828 	99.96353 
5332	镗	831	0.43775 	99.96357 
5333	樗	823	0.43354 	99.96362 
5334	苫	821	0.43249 	99.96366 
5335	阆	820	0.43196 	99.96370 
5336	莒	817	0.43038 	99.96375 
5337	罅	815	0.42933 	99.96379 
5338	稹	815	0.42933 	99.96383 
5339	豕	812	0.42775 	99.96388 
5340	涫	811	0.42722 	99.96392 
5341	螟	810	0.42669 	99.96396 
5342	骝	809	0.42617 	99.96400 
5343	連	807	0.42511 	99.96405 
5344	蓿	806	0.42459 	99.96409 
5345	祧	804	0.42353 	99.96413 
5346	苎	804	0.42353 	99.96417 
5347	擘	803	0.42301 	99.96422 
5348	犴	802	0.42248 	99.96426 
5349	玎	802	0.42248 	99.96430 
5350	侉	801	0.42195 	99.96434 
5351	仝	796	0.41932 	99.96438 
5352	學	796	0.41932 	99.96443 
5353	厝	794	0.41826 	99.96447 
5354	馐	793	0.41774 	99.96451 
5355	邰	792	0.41721 	99.96455 
5356	潍	792	0.41721 	99.96459 
5357	兕	791	0.41668 	99.96464 
5358	赍	790	0.41616 	99.96468 
5359	龅	789	0.41563 	99.96472 
5360	黩	788	0.41510 	99.96476 
5361	霂	787	0.41458 	99.96480 
5362	胪	786	0.41405 	99.96484 
5363	抟	785	0.41352 	99.96488 
5364	诤	785	0.41352 	99.96493 
5365	鬈	784	0.41300 	99.96497 
5366	結	780	0.41089 	99.96501 
5367	烺	780	0.41089 	99.96505 
5368	裝	779	0.41036 	99.96509 
5369	芪	778	0.40984 	99.96513 
5370	莳	778	0.40984 	99.96517 
5371	毽	777	0.40931 	99.96521 
5372	筇	776	0.40878 	99.96525 
5373	猞	775	0.40826 	99.96529 
5374	忺	775	0.40826 	99.96534 
5375	砭	771	0.40615 	99.96538 
5376	腱	771	0.40615 	99.96542 
5377	澧	768	0.40457 	99.96546 
5378	挈	768	0.40457 	99.96550 
5379	怼	765	0.40299 	99.96554 
5380	镞	765	0.40299 	99.96558 
5381	貔	764	0.40246 	99.96562 
5382	嬗	764	0.40246 	99.96566 
5383	醴	763	0.40193 	99.96570 
5384	搠	760	0.40035 	99.96574 
5385	杷	759	0.39983 	99.96578 
5386	薹	759	0.39983 	99.96582 
5387	杌	756	0.39825 	99.96586 
5388	並	755	0.39772 	99.96590 
5389	風	754	0.39719 	99.96594 
5390	铬	753	0.39667 	99.96598 
5391	讴	753	0.39667 	99.96602 
5392	闼	752	0.39614 	99.96606 
5393	拊	751	0.39561 	99.96610 
5394	歃	749	0.39456 	99.96614 
5395	機	747	0.39351 	99.96618 
5396	輕	745	0.39245 	99.96621 
5397	蝮	744	0.39192 	99.96625 
5398	沆	744	0.39192 	99.96629 
5399	晞	743	0.39140 	99.96633 
5400	飏	742	0.39087 	99.96637 
5401	烷	741	0.39034 	99.96641 
5402	箜	740	0.38982 	99.96645 
5403	彀	738	0.38876 	99.96649 
5404	雠	737	0.38824 	99.96653 
5405	傳	737	0.38824 	99.96657 
5406	荩	737	0.38824 	99.96660 
5407	揿	737	0.38824 	99.96664 
5408	恂	734	0.38666 	99.96668 
5409	燊	733	0.38613 	99.96672 
5410	茴	732	0.38560 	99.96676 
5411	癯	732	0.38560 	99.96680 
5412	吔	732	0.38560 	99.96684 
5413	備	730	0.38455 	99.96688 
5414	國	730	0.38455 	99.96691 
5415	闿	729	0.38402 	99.96695 
5416	衽	728	0.38350 	99.96699 
5417	鲈	727	0.38297 	99.96703 
5418	缟	726	0.38244 	99.96707 
5419	紅	726	0.38244 	99.96711 
5420	昴	726	0.38244 	99.96714 
5421	廪	725	0.38192 	99.96718 
5422	圻	725	0.38192 	99.96722 
5423	垓	723	0.38086 	99.96726 
5424	奁	722	0.38034 	99.96730 
5425	瘙	722	0.38034 	99.96733 
5426	痫	721	0.37981 	99.96737 
5427	黟	721	0.37981 	99.96741 
5428	讦	719	0.37876 	99.96745 
5429	矾	718	0.37823 	99.96749 
5430	铰	717	0.37770 	99.96752 
5431	氖	717	0.37770 	99.96756 
5432	烯	717	0.37770 	99.96760 
5433	葉	717	0.37770 	99.96764 
5434	陉	714	0.37612 	99.96767 
5435	耄	713	0.37559 	99.96771 
5436	妯	713	0.37559 	99.96775 
5437	強	709	0.37349 	99.96779 
5438	踟	702	0.36980 	99.96782 
5439	菟	702	0.36980 	99.96786 
5440	鲧	701	0.36927 	99.96790 
5441	镛	701	0.36927 	99.96793 
5442	峄	700	0.36875 	99.96797 
5443	镱	700	0.36875 	99.96801 
5444	竦	698	0.36769 	99.96804 
5445	搦	695	0.36611 	99.96808 
5446	吡	694	0.36559 	99.96812 
5447	鳏	694	0.36559 	99.96815 
5448	飨	694	0.36559 	99.96819 
5449	猡	693	0.36506 	99.96823 
5450	痼	690	0.36348 	99.96826 
5451	讣	689	0.36295 	99.96830 
5452	荭	689	0.36295 	99.96834 
5453	龢	688	0.36243 	99.96837 
5454	殺	686	0.36137 	99.96841 
5455	鯶	685	0.36084 	99.96845 
5456	馕	685	0.36084 	99.96848 
5457	枰	685	0.36084 	99.96852 
5458	黼	684	0.36032 	99.96855 
5459	檫	683	0.35979 	99.96859 
5460	氂	683	0.35979 	99.96863 
5461	鄯	683	0.35979 	99.96866 
5462	鲇	681	0.35874 	99.96870 
5463	酽	681	0.35874 	99.96873 
5464	垅	680	0.35821 	99.96877 
5465	佤	679	0.35768 	99.96880 
5466	歙	679	0.35768 	99.96884 
5467	骘	679	0.35768 	99.96888 
5468	妁	677	0.35663 	99.96891 
5469	頫	677	0.35663 	99.96895 
5470	處	676	0.35610 	99.96898 
5471	垩	676	0.35610 	99.96902 
5472	蠃	675	0.35558 	99.96905 
5473	锆	674	0.35505 	99.96909 
5474	枇	674	0.35505 	99.96913 
5475	鄞	673	0.35452 	99.96916 
5476	乩	672	0.35400 	99.96920 
5477	幂	671	0.35347 	99.96923 
5478	遠	670	0.35294 	99.96927 
5479	場	669	0.35242 	99.96930 
5480	蟊	667	0.35136 	99.96934 
5481	沭	665	0.35031 	99.96937 
5482	綪	662	0.34873 	99.96941 
5483	垭	662	0.34873 	99.96944 
5484	鹳	661	0.34820 	99.96948 
5485	萁	661	0.34820 	99.96951 
5486	伧	660	0.34768 	99.96955 
5487	苁	659	0.34715 	99.96958 
5488	恚	658	0.34662 	99.96962 
5489	盱	658	0.34662 	99.96965 
5490	鼋	657	0.34610 	99.96968 
5491	門	656	0.34557 	99.96972 
5492	钤	656	0.34557 	99.96975 
5493	矬	654	0.34451 	99.96979 
5494	帑	653	0.34399 	99.96982 
5495	關	652	0.34346 	99.96986 
5496	車	651	0.34293 	99.96989 
5497	兒	651	0.34293 	99.96993 
5498	劍	651	0.34293 	99.96996 
5499	離	648	0.34135 	99.96999 
5500	轉	648	0.34135 	99.97003 
5501	侪	647	0.34083 	99.97006 
5502	溦	647	0.34083 	99.97010 
5503	極	643	0.33872 	99.97013 
5504	穑	643	0.33872 	99.97016 
5505	脶	642	0.33819 	99.97020 
5506	煸	641	0.33767 	99.97023 
5507	娌	641	0.33767 	99.97027 
5508	砀	640	0.33714 	99.97030 
5509	陣	639	0.33661 	99.97033 
5510	孳	637	0.33556 	99.97037 
5511	吶	636	0.33503 	99.97040 
5512	蚋	636	0.33503 	99.97043 
5513	脔	635	0.33451 	99.97047 
5514	缁	635	0.33451 	99.97050 
5515	箬	633	0.33345 	99.97053 
5516	豔	632	0.33293 	99.97057 
5517	颙	632	0.33293 	99.97060 
5518	樯	631	0.33240 	99.97063 
5519	麂	630	0.33187 	99.97067 
5520	糸	629	0.33135 	99.97070 
5521	猱	628	0.33082 	99.97073 
5522	跸	627	0.33029 	99.97077 
5523	甑	627	0.33029 	99.97080 
5524	榘	625	0.32924 	99.97083 
5525	掮	625	0.32924 	99.97087 
5526	岈	625	0.32924 	99.97090 
5527	芾	624	0.32871 	99.97093 
5528	龃	624	0.32871 	99.97096 
5529	趸	623	0.32818 	99.97100 
5530	沔	623	0.32818 	99.97103 
5531	涘	623	0.32818 	99.97106 
5532	炆	623	0.32818 	99.97109 
5533	蹰	622	0.32766 	99.97113 
5534	苣	620	0.32660 	99.97116 
5535	冄	620	0.32660 	99.97119 
5536	裢	618	0.32555 	99.97123 
5537	萸	618	0.32555 	99.97126 
5538	郧	618	0.32555 	99.97129 
5539	捭	617	0.32502 	99.97132 
5540	緊	617	0.32502 	99.97136 
5541	嫇	617	0.32502 	99.97139 
5542	謇	614	0.32344 	99.97142 
5543	湉	612	0.32239 	99.97145 
5544	笫	611	0.32186 	99.97148 
5545	雖	610	0.32134 	99.97152 
5546	妣	609	0.32081 	99.97155 
5547	枞	609	0.32081 	99.97158 
5548	禟	608	0.32028 	99.97161 
5549	疥	607	0.31976 	99.97165 
5550	啁	607	0.31976 	99.97168 
5551	氰	605	0.31870 	99.97171 
5552	蒹	604	0.31818 	99.97174 
5553	驚	604	0.31818 	99.97177 
5554	檑	602	0.31712 	99.97180 
5555	誰	602	0.31712 	99.97184 
5556	莴	601	0.31660 	99.97187 
5557	禳	600	0.31607 	99.97190 
5558	缌	597	0.31449 	99.97193 
5559	婄	596	0.31396 	99.97196 
5560	夤	596	0.31396 	99.97199 
5561	鹬	596	0.31396 	99.97203 
5562	勣	595	0.31343 	99.97206 
5563	玢	592	0.31185 	99.97209 
5564	镏	592	0.31185 	99.97212 
5565	終	592	0.31185 	99.97215 
5566	狯	590	0.31080 	99.97218 
5567	馬	590	0.31080 	99.97221 
5568	傢	589	0.31027 	99.97224 
5569	焐	589	0.31027 	99.97227 
5570	縻	588	0.30975 	99.97231 
5571	屃	588	0.30975 	99.97234 
5572	魆	587	0.30922 	99.97237 
5573	莜	587	0.30922 	99.97240 
5574	腭	586	0.30869 	99.97243 
5575	鲑	586	0.30869 	99.97246 
5576	淦	585	0.30817 	99.97249 
5577	洹	584	0.30764 	99.97252 
5578	砦	584	0.30764 	99.97255 
5579	荇	583	0.30711 	99.97258 
5580	鲠	582	0.30659 	99.97261 
5581	蚝	581	0.30606 	99.97264 
5582	榉	581	0.30606 	99.97267 
5583	楝	581	0.30606 	99.97271 
5584	艨	580	0.30553 	99.97274 
5585	楸	580	0.30553 	99.97277 
5586	睃	579	0.30501 	99.97280 
5587	鹈	579	0.30501 	99.97283 
5588	棹	579	0.30501 	99.97286 
5589	昇	577	0.30395 	99.97289 
5590	瀣	576	0.30343 	99.97292 
5591	東	575	0.30290 	99.97295 
5592	龉	575	0.30290 	99.97298 
5593	鬻	575	0.30290 	99.97301 
5594	庥	574	0.30237 	99.97304 
5595	骐	573	0.30185 	99.97307 
5596	囗	573	0.30185 	99.97310 
5597	筢	568	0.29921 	99.97313 
5598	柝	567	0.29868 	99.97316 
5599	靺	566	0.29816 	99.97319 
5600	堀	565	0.29763 	99.97322 
5601	膂	565	0.29763 	99.97325 
5602	磔	565	0.29763 	99.97328 
5603	柞	565	0.29763 	99.97331 
5604	鞨	564	0.29710 	99.97334 
5605	谘	564	0.29710 	99.97337 
5606	泔	563	0.29658 	99.97340 
5607	锰	563	0.29658 	99.97343 
5608	協	563	0.29658 	99.97346 
5609	聃	561	0.29552 	99.97349 
5610	徂	560	0.29500 	99.97352 
5611	堞	560	0.29500 	99.97355 
5612	蟥	559	0.29447 	99.97358 
5613	羕	559	0.29447 	99.97360 
5614	墀	556	0.29289 	99.97363 
5615	薅	556	0.29289 	99.97366 
5616	呎	555	0.29236 	99.97369 
5617	艟	555	0.29236 	99.97372 
5618	嵯	555	0.29236 	99.97375 
5619	怿	555	0.29236 	99.97378 
5620	窳	555	0.29236 	99.97381 
5621	蛳	554	0.29184 	99.97384 
5622	彘	554	0.29184 	99.97387 
5623	迨	552	0.29078 	99.97390 
5624	犰	551	0.29026 	99.97393 
5625	荜	550	0.28973 	99.97395 
5626	篦	550	0.28973 	99.97398 
5627	跶	550	0.28973 	99.97401 
5628	橛	550	0.28973 	99.97404 
5629	焯	547	0.28815 	99.97407 
5630	儁	547	0.28815 	99.97410 
5631	趺	546	0.28762 	99.97413 
5632	倥	545	0.28710 	99.97416 
5633	鸹	544	0.28657 	99.97419 
5634	椋	544	0.28657 	99.97421 
5635	瞇	544	0.28657 	99.97424 
5636	崃	543	0.28604 	99.97427 
5637	記	542	0.28552 	99.97430 
5638	旒	542	0.28552 	99.97433 
5639	芡	542	0.28552 	99.97436 
5640	芩	542	0.28552 	99.97439 
5641	請	541	0.28499 	99.97441 
5642	耧	539	0.28393 	99.97444 
5643	蝺	539	0.28393 	99.97447 
5644	庠	538	0.28341 	99.97450 
5645	狴	536	0.28235 	99.97453 
5646	钴	536	0.28235 	99.97456 
5647	侂	536	0.28235 	99.97458 
5648	眾	536	0.28235 	99.97461 
5649	镕	535	0.28183 	99.97464 
5650	樾	535	0.28183 	99.97467 
5651	欸	534	0.28130 	99.97470 
5652	穰	534	0.28130 	99.97472 
5653	螯	533	0.28077 	99.97475 
5654	耒	532	0.28025 	99.97478 
5655	眙	532	0.28025 	99.97481 
5656	菈	531	0.27972 	99.97484 
5657	罴	531	0.27972 	99.97486 
5658	隨	531	0.27972 	99.97489 
5659	肄	531	0.27972 	99.97492 
5660	怛	530	0.27919 	99.97495 
5661	缃	530	0.27919 	99.97498 
5662	哏	529	0.27867 	99.97500 
5663	逄	529	0.27867 	99.97503 
5664	岙	528	0.27814 	99.97506 
5665	沤	528	0.27814 	99.97509 
5666	珰	527	0.27761 	99.97512 
5667	荨	527	0.27761 	99.97514 
5668	娈	526	0.27709 	99.97517 
5669	圉	526	0.27709 	99.97520 
5670	叻	525	0.27656 	99.97523 
5671	訢	525	0.27656 	99.97525 
5672	耋	524	0.27603 	99.97528 
5673	鸮	523	0.27551 	99.97531 
5674	邴	522	0.27498 	99.97534 
5675	雙	522	0.27498 	99.97536 
5676	擊	520	0.27393 	99.97539 
5677	毂	516	0.27182 	99.97542 
5678	俳	515	0.27129 	99.97545 
5679	傷	515	0.27129 	99.97547 
5680	铱	515	0.27129 	99.97550 
5681	艏	514	0.27077 	99.97553 
5682	喈	512	0.26971 	99.97555 
5683	類	511	0.26919 	99.97558 
5684	蓠	511	0.26919 	99.97561 
5685	薮	509	0.26813 	99.97564 
5686	峤	508	0.26760 	99.97566 
5687	貘	508	0.26760 	99.97569 
5688	珮	508	0.26760 	99.97572 
5689	崤	508	0.26760 	99.97574 
5690	笄	506	0.26655 	99.97577 
5691	缗	503	0.26497 	99.97580 
5692	蹁	503	0.26497 	99.97582 
5693	蕤	503	0.26497 	99.97585 
5694	條	501	0.26392 	99.97587 
5695	璁	500	0.26339 	99.97590 
5696	渑	500	0.26339 	99.97593 
5697	秫	500	0.26339 	99.97595 
5698	掾	500	0.26339 	99.97598 
5699	吋	499	0.26286 	99.97601 
5700	祆	499	0.26286 	99.97603 
5701	豉	498	0.26234 	99.97606 
5702	醪	498	0.26234 	99.97609 
5703	郿	497	0.26181 	99.97611 
5704	搧	497	0.26181 	99.97614 
5705	庑	497	0.26181 	99.97616 
5706	茛	494	0.26023 	99.97619 
5707	莼	493	0.25970 	99.97622 
5708	筮	492	0.25918 	99.97624 
5709	挹	492	0.25918 	99.97627 
5710	媸	490	0.25812 	99.97629 
5711	阒	490	0.25812 	99.97632 
5712	怫	489	0.25760 	99.97634 
5713	鲔	488	0.25707 	99.97637 
5714	許	487	0.25654 	99.97640 
5715	姰	486	0.25602 	99.97642 
5716	雱	486	0.25602 	99.97645 
5717	認	486	0.25602 	99.97647 
5718	疣	486	0.25602 	99.97650 
5719	镍	485	0.25549 	99.97652 
5720	團	485	0.25549 	99.97655 
5721	褫	484	0.25496 	99.97658 
5722	锛	483	0.25444 	99.97660 
5723	潾	483	0.25444 	99.97663 
5724	轳	483	0.25444 	99.97665 
5725	鲵	482	0.25391 	99.97668 
5726	萬	482	0.25391 	99.97670 
5727	錯	481	0.25338 	99.97673 
5728	熵	481	0.25338 	99.97675 
5729	馑	480	0.25285 	99.97678 
5730	謝	480	0.25285 	99.97680 
5731	眇	479	0.25233 	99.97683 
5732	瘆	478	0.25180 	99.97685 
5733	電	477	0.25127 	99.97688 
5734	轺	477	0.25127 	99.97690 
5735	塄	476	0.25075 	99.97693 
5736	續	476	0.25075 	99.97695 
5737	纔	475	0.25022 	99.97698 
5738	涞	475	0.25022 	99.97700 
5739	杼	474	0.24969 	99.97703 
5740	沖	472	0.24864 	99.97705 
5741	讬	472	0.24864 	99.97708 
5742	崮	471	0.24811 	99.97710 
5743	岘	470	0.24759 	99.97713 
5744	纮	468	0.24653 	99.97715 
5745	诂	463	0.24390 	99.97718 
5746	镢	463	0.24390 	99.97720 
5747	玦	462	0.24337 	99.97723 
5748	鲶	462	0.24337 	99.97725 
5749	氟	461	0.24285 	99.97728 
5750	鲮	461	0.24285 	99.97730 
5751	蔌	460	0.24232 	99.97732 
5752	椹	459	0.24179 	99.97735 
5753	鐵	459	0.24179 	99.97737 
5754	僜	457	0.24074 	99.97740 
5755	洄	457	0.24074 	99.97742 
5756	栊	456	0.24021 	99.97744 
5757	孢	455	0.23969 	99.97747 
5758	郏	455	0.23969 	99.97749 
5759	沴	455	0.23969 	99.97752 
5760	郴	454	0.23916 	99.97754 
5761	侑	454	0.23916 	99.97756 
5762	詈	453	0.23863 	99.97759 
5763	獬	453	0.23863 	99.97761 
5764	澶	453	0.23863 	99.97764 
5765	箧	452	0.23810 	99.97766 
5766	興	452	0.23810 	99.97768 
5767	語	451	0.23758 	99.97771 
5768	嗐	449	0.23652 	99.97773 
5769	鳃	449	0.23652 	99.97775 
5770	朮	449	0.23652 	99.97778 
5771	線	448	0.23600 	99.97780 
5772	矸	447	0.23547 	99.97782 
5773	讵	447	0.23547 	99.97785 
5774	枋	446	0.23494 	99.97787 
5775	璺	446	0.23494 	99.97790 
5776	幫	445	0.23442 	99.97792 
5777	鞣	445	0.23442 	99.97794 
5778	澌	445	0.23442 	99.97797 
5779	啭	445	0.23442 	99.97799 
5780	蜉	444	0.23389 	99.97801 
5781	黻	444	0.23389 	99.97804 
5782	鳥	443	0.23336 	99.97806 
5783	耦	443	0.23336 	99.97808 
5784	樘	443	0.23336 	99.97811 
5785	虛	442	0.23284 	99.97813 
5786	跖	442	0.23284 	99.97815 
5787	蛉	441	0.23231 	99.97818 
5788	箪	440	0.23178 	99.97820 
5789	璈	438	0.23073 	99.97822 
5790	逋	438	0.23073 	99.97825 
5791	歡	438	0.23073 	99.97827 
5792	扦	438	0.23073 	99.97829 
5793	孃	437	0.23020 	99.97831 
5794	愆	437	0.23020 	99.97834 
5795	跩	437	0.23020 	99.97836 
5796	鳟	436	0.22968 	99.97838 
5797	泚	435	0.22915 	99.97841 
5798	藿	435	0.22915 	99.97843 
5799	浠	435	0.22915 	99.97845 
5800	痱	434	0.22862 	99.97847 
5801	憷	432	0.22757 	99.97850 
5802	隊	432	0.22757 	99.97852 
5803	殳	432	0.22757 	99.97854 
5804	葚	431	0.22704 	99.97857 
5805	纡	431	0.22704 	99.97859 
5806	翮	429	0.22599 	99.97861 
5807	戋	428	0.22546 	99.97863 
5808	黧	428	0.22546 	99.97866 
5809	喦	428	0.22546 	99.97868 
5810	錢	428	0.22546 	99.97870 
5811	鲽	426	0.22441 	99.97872 
5812	絕	426	0.22441 	99.97875 
5813	诔	426	0.22441 	99.97877 
5814	矇	426	0.22441 	99.97879 
5815	曷	424	0.22336 	99.97881 
5816	毖	423	0.22283 	99.97884 
5817	髋	423	0.22283 	99.97886 
5818	題	423	0.22283 	99.97888 
5819	狳	423	0.22283 	99.97890 
5820	藍	422	0.22230 	99.97892 
5821	槎	419	0.22072 	99.97895 
5822	坻	419	0.22072 	99.97897 
5823	哚	419	0.22072 	99.97899 
5824	蜊	418	0.22019 	99.97901 
5825	铙	418	0.22019 	99.97904 
5826	乂	418	0.22019 	99.97906 
5827	袆	417	0.21967 	99.97908 
5828	嫘	417	0.21967 	99.97910 
5829	漯	416	0.21914 	99.97912 
5830	骟	416	0.21914 	99.97914 
5831	捌	415	0.21861 	99.97917 
5832	瓘	415	0.21861 	99.97919 
5833	椴	414	0.21809 	99.97921 
5834	溘	413	0.21756 	99.97923 
5835	墒	413	0.21756 	99.97925 
5836	蹚	413	0.21756 	99.97928 
5837	阋	413	0.21756 	99.97930 
5838	牖	413	0.21756 	99.97932 
5839	阇	412	0.21703 	99.97934 
5840	愍	412	0.21703 	99.97936 
5841	龋	412	0.21703 	99.97938 
5842	篁	410	0.21598 	99.97941 
5843	刈	410	0.21598 	99.97943 
5844	蠲	408	0.21493 	99.97945 
5845	樂	408	0.21493 	99.97947 
5846	谝	408	0.21493 	99.97949 
5847	悭	408	0.21493 	99.97951 
5848	郞	407	0.21440 	99.97953 
5849	總	407	0.21440 	99.97956 
5850	鬲	406	0.21387 	99.97958 
5851	瓠	406	0.21387 	99.97960 
5852	畠	406	0.21387 	99.97962 
5853	撄	406	0.21387 	99.97964 
5854	棰	405	0.21335 	99.97966 
5855	麸	405	0.21335 	99.97968 
5856	圪	405	0.21335 	99.97971 
5857	洺	405	0.21335 	99.97973 
5858	嬛	405	0.21335 	99.97975 
5859	錾	405	0.21335 	99.97977 
5860	笮	405	0.21335 	99.97979 
5861	轾	405	0.21335 	99.97981 
5862	杓	404	0.21282 	99.97983 
5863	砷	404	0.21282 	99.97986 
5864	衛	404	0.21282 	99.97988 
5865	辦	403	0.21229 	99.97990 
5866	剀	403	0.21229 	99.97992 
5867	疴	403	0.21229 	99.97994 
5868	餍	403	0.21229 	99.97996 
5869	锱	403	0.21229 	99.97998 
5870	寤	402	0.21177 	99.98000 
5871	糍	401	0.21124 	99.98002 
5872	瞽	401	0.21124 	99.98005 
5873	芎	401	0.21124 	99.98007 
5874	尻	399	0.21019 	99.98009 
5875	缡	399	0.21019 	99.98011 
5876	捩	399	0.21019 	99.98013 
5877	蹼	399	0.21019 	99.98015 
5878	鳕	399	0.21019 	99.98017 
5879	陸	398	0.20966 	99.98019 
5880	裰	397	0.20913 	99.98021 
5881	窨	396	0.20861 	99.98023 
5882	偬	396	0.20861 	99.98026 
5883	唸	395	0.20808 	99.98028 
