啊	aaKK
祾	lkpw
姈	lkns
棱	lkmw
㥄	lkxw
坽	lkts
流	lqdi
刘	lqwd
留	lqpt
六	lqwb
柳	lqme
溜	lqdt
琉	lqwi
榴	lqmt
浏	lqdd
瘤	lqbt
硫	lqui
遛	lqzt
陆	lqej
绺	lqsk
鎏	lqdj
馏	lqut
骝	lqmt
镏	lqjt
旒	lqfi
镠	lqjp
锍	lqji
熘	lqht
鹨	lqxn
飗	lqft
瑬	lqdy
珋	lqwe
罶	lqst
鹠	lqpn
疁	lqtp
碌	lquu
咯	lokk
龙	lsyp
隆	lseu
笼	lsvl
拢	lsfl
胧	lsol
珑	lswl
咙	lskl
聋	lsle
垄	lslt
窿	lsbu
陇	lsel
泷	lsdl
茏	lscl
眬	lsol
栊	lsml
砻	lslu
哢	lskc
昽	lsol
癃	lsbu
漋	lsdu
弄	lswc
𬕂	lsvb
楼	lzmn
搂	lzfn
漏	lzdy
髅	lzgn
露	lzyk
陋	lzen
喽	lzkn
娄	lzmn
篓	lzvn
镂	lzjn
偻	lzrn
蝼	lzin
耧	lzln
蒌	lzcn
瘘	lzbn
嵝	lzun
溇	lzdn
䁖	lzon
剅	lzdd
𦝼	lzon
𪣻	lztn
路	luzk
露	luyk
陆	luej
鲁	luyo
录	lueu
撸	lufo
卢	lubu
鹿	lugb
炉	luhh
碌	luuu
芦	luch
禄	lupu
虏	luhl
璐	luwk
噜	luko
戮	luxg
颅	luby
庐	lugh
漉	ludl
掳	lufl
辘	luil
赂	lubk
麓	luml
卤	lubx
鹭	luzn
泸	ludu
潞	ludk
橹	lumo
辂	luik
箓	luvu
胪	luou
鲈	luyu
轳	luiu
垆	lutu
渌	ludu
逯	luzu
鸬	lubn
甪	lupy
蕗	luck
舻	luvu
栌	lumu
簏	luvl
菉	lucu
氇	lumo
僇	lurp
琭	luwu
镥	lujo
勠	luxl
稑	luht
绿	lusu
澛	ludo
𫘧	lumu
𬬻	luju
乱	lruv
卵	lrpd
鸾	lrwn
峦	lrwu
挛	lrwu
銮	lrwj
孪	lrwz
栾	lrwm
滦	lrdm
脔	lrwr
娈	lrwn
论	lyyl
伦	lyrl
轮	lyil
仑	lyrb
沦	lydl
抡	lyfl
纶	lysl
囵	lykl
𫭢	lytl
𬬭	lyjl
落	lock
罗	losx
洛	lodk
络	losk
裸	lopg
逻	lozx
骆	lomk
萝	locx
螺	loix
锣	lojx
啰	lokx
珞	lowk
骡	lomx
摞	lofx
雒	lowv
荦	locn
箩	lovx
椤	lomx
咯	lokk
烙	lohk
猡	loqx
蠃	lowi
脶	loon
漯	lodx
倮	lorg
捋	lofc
瘰	lobx
泺	lodl
蓏	locg
绿	lvsu
律	lvry
率	lvwu
旅	lvfy
吕	lvkk
缕	lvsn
侣	lvrk
驴	lvmh
屡	lvun
履	lvuw
捋	lvfc
滤	lvdx
虑	lvhx
褛	lvpn
铝	lvjk
闾	lvmk
榈	lvmk
氯	lvqu
膂	lvfo
稆	lvhk
葎	lvcy
垏	lvty
偻	lvrn
梠	lvmk
𦝼	lvon
略	lttk
掠	ltfx
锊	ltjc
䂮	ltfu
圙	ltkm
吗	maKM
马	mava
妈	manm
麻	magm
嘛	makm
骂	makm
码	maum
玛	mawm
抹	mafw
蚂	maim
蟆	maid
犸	maqm
杩	mamm
祃	mapm
摩	magu
买	mdad
卖	mdud
埋	mdtl
脉	mdoy
麦	mdfw
迈	mdzw
霾	mdyl
劢	mdwl
唛	mdkw
荬	mdcd
鿏	mdjw
满	mjdl
慢	mjxy
漫	mjdy
曼	mjoy
蛮	mjwi
瞒	mjol
蔓	mjcy
馒	mjuy
幔	mjjy
谩	mjyy
鳗	mjyy
缦	mjsy
嫚	mjny
墁	mjty
颟	mjcy
螨	mjil
鞔	mjge
镘	mjjy
鬘	mjey
埋	mjtl
𬜬	mjck
忙	mhxw
芒	mhcw
茫	mhcw
氓	mhwm
莽	mhcc
盲	mhwo
蟒	mhic
邙	mhwe
漭	mhdc
牤	mhnw
硭	mhuw
尨	mhlp
牻	mhnp
厖	mhip
杧	mhmw
毛	mcpv
冒	mcoo
貌	mcve
猫	mcqt
矛	mcyp
帽	mcjo
贸	mcpb
茂	mccw
茅	mccm
冇	mcuk
髦	mcem
卯	mcpe
锚	mcjt
袤	mcym
瑁	mcwo
懋	mcmx
牦	mcnm
铆	mcje
昴	mcoe
耄	mclm
蟊	mcmi
峁	mcue
旄	mcfm
楙	mcmm
泖	mcde
瞀	mcmo
茆	mcce
蝥	mcmi
芼	mccm
眊	mcom
鄚	mcce
么	meps
没	mwdu
美	mwyd
每	mwpm
妹	mwnw
眉	mwuo
梅	mwmm
媚	mwno
魅	mwgw
玫	mwww
枚	mwmw
媒	mwnm
霉	mwym
昧	mwow
煤	mwhm
寐	mwbw
嵋	mwuo
莓	mwcm
湄	mwdo
袂	mwpg
楣	mwmo
酶	mwym
镁	mwjd
郿	mwue
浼	mwde
鹛	mwun
镅	mwjo
渼	mwdd
糜	mwgm
媄	mwnd
瑂	mwwo
们	mfrm
门	mfdv
闷	mfmx
懑	mfdx
扪	mffm
焖	mfhx
钔	mfjm
呇	mfuk
𫞩	mfwl
梦	mgmx
猛	mgqm
蒙	mgcu
孟	mgzm
盟	mgom
朦	mgou
萌	mgco
懵	mgxo
檬	mgmu
蜢	mgim
勐	mgzl
虻	mgiw
艨	mgvu
锰	mgjm
幪	mgju
艋	mgvm
蠓	mgiu
瞢	mgco
甍	mgcw
獴	mgqu
礞	mguu
㠓	mguu
鹲	mgcn
𫑡	mgke
密	mibu
米	mibm
迷	mizm
秘	mihb
弥	migx
蜜	mibi
眯	miom
咪	mikm
谜	miym
觅	mivj
靡	migf
泌	midb
糜	migm
谧	miym
宓	mibb
祢	mipx
芈	micf
麋	milm
弭	mige
汨	mido
猕	miqx
幂	mibj
縻	migx
蘼	micf
醚	miym
祕	mipb
敉	mimw
嘧	miku
蓂	micl
脒	miom
洣	midm
醾	miym
面	mmao
免	mmde
勉	mmdl
绵	mmsj
眠	mmom
棉	mmmj
缅	mmsm
冕	mmoe
腼	mmom
娩	mmne
湎	mmdm
沔	mmdg
渑	mmdd
眄	mmog
丏	mmgl
勔	mmml
愐	mmxm
偭	mmrm
𩾃	mmye
妙	mnnu
秒	mnhu
描	mnft
苗	mnct
庙	mngy
渺	mndu
瞄	mnot
淼	mnuu
喵	mnkt
缈	mnsu
藐	mnce
邈	mnze
眇	mnou
杪	mnmu
鹋	mncn
缪	mnsp
灭	mpah
蔑	mpcd
乜	mpvv
咩	mpky
篾	mpvd
民	mbvv
敏	mbpw
抿	mbfm
悯	mbxw
闵	mbmw
珉	mbwm
泯	mbdm
闽	mbmi
皿	mbka
岷	mbum
旻	mbow
缗	mbso
愍	mbmx
湣	mbdo
黾	mbkd
忞	mbwx
鳘	mbpy
苠	mbcm
明	mkoo
名	mkxk
命	mkre
鸣	mkkn
冥	mkbl
铭	mkjk
茗	mkck
瞑	mkol
溟	mkdl
酩	mkyk
暝	mkol
螟	mkil
洺	mkdk
谬	mqyp
缪	mqsp
魔	mogg
莫	mocd
默	molq
模	momd
摸	mofd
摩	mogu
磨	mogu
末	moam
漠	modd
抹	mofw
墨	molt
没	modu
麽	mogm
陌	moeb
寞	mobd
蓦	mocm
沫	modw
膜	mood
茉	mocw
嬷	monm
蘑	mocu
摹	mocu
馍	moud
谟	moyd
嫫	mond
秣	mohw
殁	modu
貊	movb
靺	mogw
貘	movd
镆	mojd
瘼	mobd
耱	molu
万	moav
无	moay
脉	mooy
藦	mocu
𬙊	most
某	mzgm
谋	mzym
眸	mzon
缪	mzsp
牟	mzsn
哞	mzkn
鍪	mzmj
侔	mzrn
蛑	mzin
目	muke
母	mumd
木	muur
模	mumd
慕	mucx
幕	mucj
姆	munm
穆	muhp
牧	munw
墓	muct
沐	mudm
暮	muco
拇	mufm
牡	munt
亩	muwt
募	mucl
睦	muot
苜	muco
呒	mukw
钼	mujo
毪	mumn
仫	murm
牟	musn
𧿹	muzm
𬭁	mujm
那	nave
哪	nake
拿	naru
娜	nane
纳	nasn
呐	nakn
捺	nafu
衲	napn
钠	najn
肭	naon
镎	naju
乸	naym
南	naug
𦰡	nace
奶	ndnn
奈	nddu
耐	ndec
乃	ndvp
鼐	ndno
氖	ndqn
萘	ndcu
艿	ndcn
柰	ndmu
佴	ndre
迺	ndzx
耏	ndep
难	njyv
男	njtl
南	njug
喃	njkg
楠	njmg
囡	njkn
赧	njiy
腩	njog
蝻	njig
萳	njcg
婻	njng
囊	nhgy
囔	nhky
馕	nhuy
攮	nhfy
曩	nhox
齉	nhzy
脑	ncox
闹	ncmj
恼	ncxx
挠	ncfw
瑙	ncwx
孬	ncbz
呶	ncky
淖	ncdu
猱	ncqm
铙	ncjw
垴	nctx
蛲	nciw
硇	ncux
臑	ncoe
峱	ncqu
呢	nekb
讷	neyn
哪	neke
内	nwkr
馁	nwun
嫩	nfnw
恁	nfrx
能	ngsb
你	niRX
尼	niub
妮	ninb
泥	nidb
逆	nizn
拟	nifr
腻	niob
倪	nire
霓	niye
匿	nikk
溺	nidg
昵	niob
睨	nioe
旎	nifb
怩	nixb
猊	niqe
鲵	niye
伲	nirb
坭	nitb
铌	nijb
麑	nile
薿	nicz
呢	nikb
𨺙	niee
𫐐	niie
𫠜	nive
年	nmpf
念	nmrx
黏	nmhv
拈	nmfv
捻	nmfx
碾	nmuy
撵	nmfi
蔫	nmch
廿	nmca
辇	nmfi
鲇	nmyv
鲶	nmyx
埝	nmtx
粘	nmmv
娘	nlnl
酿	nlyl
鸟	nnna
尿	nnuu
袅	nnny
茑	nncn
脲	nnou
捏	npft
聂	npey
孽	npcz
涅	npdt
蹑	npzy
嗫	npky
啮	npkr
臬	npzm
镊	npjy
镍	npjm
蘖	npcm
颞	npey
糵	npcm
陧	npet
乜	npvv
嵲	npum
菍	npcx
𫔶	npmm
您	nbrx
宁	nkbd
凝	nkdz
狞	nkqd
拧	nkfd
柠	nkmd
咛	nkkd
泞	nkdd
佞	nkrn
甯	nkby
苧	nkcd
聍	nked
牛	nqpu
扭	nqfi
纽	nqsi
妞	nqni
钮	nqji
拗	nqfl
忸	nqxi
狃	nqqi
杻	nqmi
弄	nswc
农	nsby
浓	nsdy
哝	nsky
侬	nsry
脓	nsoy
秾	nshy
𬪩	nsyy
耨	nzlc
怒	nunx
努	nunl
奴	nuny
弩	nung
驽	nunm
孥	nunz
傉	nurc
胬	nunr
砮	nunu
笯	nuvy
暖	nroy
诺	noyk
挪	nofe
懦	noxe
喏	nokk
糯	nome
娜	none
傩	norv
搦	nofg
锘	nojk
𦰡	noce
女	nvva
钕	nvjn
恧	nvex
衄	nvpi
虐	nthe
疟	ntbe
哦	ooKW
噢	ookd
喔	ookt
欧	ouqq
偶	ourd
呕	oukq
殴	ouqu
鸥	ouqn
藕	oucd
区	oukx
怄	ouxq
瓯	ouqw
讴	ouyq
沤	oudq
耦	ould
𠙶	oukl
𬉼	ouhq
怕	paxb
爬	pavb
帕	pajb
啪	pakb
趴	pazb
扒	pafb
琶	pawb
耙	palb
葩	pacb
杷	pamb
筢	pavb
舥	pavb
潖	padb
派	pddy
排	pdff
拍	pdfb
牌	pdpu
徘	pdrf
湃	pddf
俳	pdrf
哌	pdky
簰	pdvu
蒎	pdcy
迫	pdzb
盘	pjvm
判	pjbd
叛	pjby
盼	pjof
潘	pjdt
攀	pjmu
畔	pjtb
蹒	pjzl
磐	pjvu
蟠	pjit
槃	pjvm
爿	pjvl
泮	pjdb
袢	pjpb
磻	pjut
襻	pjpu
番	pjct
胖	pjob
旁	phwf
胖	phob
庞	phgl
彷	phrf
乓	phqd
螃	phif
滂	phdf
逄	phzf
雱	phyf
磅	phuf
耪	phlf
鳑	phyf
膀	phof
跑	pczb
炮	pchb
泡	pcdb
抛	pcfl
袍	pcpb
咆	pckb
刨	pcbd
庖	pcgb
狍	pcqb
疱	pcbb
匏	pcdb
脬	pcoz
陪	pwek
配	pwYJ
佩	pwrj
培	pwtk
赔	pwbk
裴	pwfy
沛	pwdu
呸	pwkp
胚	pwop
帔	pwjp
辔	pwsk
霈	pwyu
旆	pwfu
醅	pwyk
锫	pwjk
衃	pwpb
喷	pfkb
盆	pffm
湓	pfdm
碰	pguy
朋	pgoo
鹏	pgon
捧	pgff
砰	pgup
蓬	pgcf
篷	pgvf
彭	pgtp
棚	pgmo
膨	pgop
澎	pgdp
怦	pgxp
嘭	pgkp
烹	pgwh
抨	pgfp
芃	pgcf
硼	pguo
蟛	pgip
堋	pgto
椪	pgmy
弸	pggo
淜	pgdo
搒	pgff
皮	pipy
批	pifb
屁	piub
疲	pibp
匹	pike
劈	piud
披	pifp
脾	piou
啤	piku
辟	piux
僻	pirx
霹	piyx
痞	pibk
譬	piuk
噼	pikx
琵	piwb
癖	pibx
媲	pinb
丕	piba
毗	pitb
坯	pitp
纰	pisb
裨	pipu
睥	piou
邳	pibe
砒	piub
陂	piep
貔	pivb
枇	pimb
罴	pish
圮	pitj
鼙	pitu
蚍	piib
铍	pijp
郫	pipe
仳	pirb
伾	pirp
蜱	piiu
埤	pitu
嚭	pitk
陴	pieu
淠	pidw
甓	piuw
狉	piqp
澼	pidx
椑	pimu
否	pibk
鲏	piyp
䴙	piun
苉	picp
𬳵	pimp
片	pmpv
偏	pmrc
骗	pmmc
篇	pmvc
翩	pmhx
便	pmrg
骈	pmmk
蹁	pmzc
谝	pmyc
胼	pmok
犏	pmnc
楩	pmmg
扁	pmhc
㛹	pmng
𡎚	pmtc
飘	pnxf
漂	pndu
票	pnxu
瞟	pnou
嫖	pnnu
瓢	pnxg
缥	pnsu
剽	pnxd
骠	pnmu
朴	pnmb
殍	pndz
嘌	pnku
螵	pniu
蔈	pncu
薸	pncu
撇	ppfw
瞥	ppxo
苤	ppcp
氕	ppqp
𬭯	ppjw
品	pbkk
拼	pbfk
贫	pbfb
频	pbvy
聘	pbek
嫔	pbnb
颦	pbvu
姘	pbnk
牝	pbnb
玭	pbwb
𬞟	pbcy
平	pkau
凭	pkrj
评	pkyp
瓶	pkbw
屏	pkuk
萍	pkcp
苹	pkcp
坪	pktp
乒	pkqp
娉	pknk
枰	pkmp
鲆	pkyp
俜	pkrk
泙	pkdp
洴	pkdk
帡	pkjk
荓	pkck
冯	pkdm
蚲	pkip
涄	pkdk
玶	pkwp
破	poup
婆	podn
迫	pozb
颇	popy
坡	potp
魄	pobg
泼	pody
泊	podb
珀	powb
叵	pokk
鄱	poce
粕	pomb
笸	povk
皤	pobt
钋	pojb
钷	pojk
桲	pomz
朴	pomb
繁	popx
陂	poep
䥽	pojy
酦	poyy
剖	pzld
抔	pzfb
裒	pzyj
掊	pzfk
普	pubo
扑	pufb
铺	pujf
朴	pumb
仆	purb
谱	puyo
葡	pucf
菩	puck
噗	pukf
浦	pudf
瀑	pudu
蒲	pucf
埔	putf
濮	pudf
璞	puwf
圃	pukf
溥	pudc
匍	pubf
莆	pucf
堡	purt
脯	puof
蹼	puzf
曝	puou
氆	pumo
潽	pudo
酺	puyf
镨	pujo
镤	pujf
蒱	pucf
墣	putf
穙	puhf
起	qitj
气	qipv
其	qicb
奇	qidk
期	qico
七	qiav
器	qikk
骑	qimk
齐	qiwl
弃	qiwc
妻	qiun
企	qirv
启	qihk
旗	qifb
欺	qicq
岂	qiuj
汽	qidq
棋	qimb
琪	qiwb
泣	qidl
凄	qidn
漆	qidu
戚	qiwx
契	qifd
乞	qipv
祈	qipj
麒	qilb
歧	qivv
琦	qiwk
祁	qipe
绮	qisk
栖	qimx
炁	qiwh
淇	qidb
崎	qiuk
砌	qiud
蹊	qizd
祺	qipb
迄	qizv
杞	qimj
岐	qiuv
脐	qioq
颀	qijy
沏	qidd
跂	qizv
憩	qiux
萋	qicn
嘁	qikx
耆	qilo
芑	qicj
蜞	qiib
讫	qiyv
祇	qipu
鳍	qiyo
亓	qiaw
葺	qice
柒	qidm
綦	qicx
蕲	qicj
畦	qitt
芪	qicu
圻	qitj
萁	qicb
骐	qimb
欹	qidq
碛	qiub
汔	qidv
锜	qijk
槭	qimx
蛴	qiiq
屺	qiuj
亟	qila
玘	qiwj
桤	qimj
埼	qitk
棨	qihm
郪	qiue
磜	qiuu
鲯	qiyb
愭	qixo
碶	qiud
俟	qiru
婍	qink
洓	qidu
稽	qiho
缉	qise
荠	qicq
䓫	qick
𨙸	qive
𬨂	qiiu
卡	qxub
恰	qxxk
掐	qxfj
洽	qxdk
拤	qxfb
葜	qxcd
袷	qxpk
髂	qxgk
前	qmbd
钱	qmjj
千	qmpu
潜	qmdo
牵	qmdn
倩	qmro
浅	qmdj
签	qmvq
歉	qmjq
欠	qmdr
乾	qmuv
谦	qmyj
迁	qmzq
遣	qmzl
茜	qmcx
芊	qmcq
嵌	qmuq
虔	qmhw
铅	qmjk
谴	qmyl
钳	qmjg
黔	qmlv
堑	qmit
骞	qmbm
佥	qmra
仟	qmrq
缱	qmsl
纤	qmsq
阡	qmeq
钎	qmjq
钤	qmjv
掮	qmfo
芡	qmcq
荨	qmcc
扦	qmfq
愆	qmrx
悭	qmxt
搴	qmbu
慊	qmxj
褰	qmby
汧	qmdk
肷	qmoq
蒨	qmco
靬	qmgg
椠	qmim
杄	qmmq
鹐	qmdn
岍	qmuk
圲	qmtq
犍	qmny
伣	qmrj
墘	qmtv
磏	qmuj
𬘬	qmso
强	qlgi
枪	qlmv
墙	qltk
抢	qlfv
腔	qlog
呛	qlkv
跄	qlzv
蔷	qlck
锵	qljc
羌	qlyv
戕	qlpg
戗	qlrg
襁	qlpi
嫱	qlnk
樯	qlmk
镪	qlji
炝	qlhv
羟	qlyj
蜣	qliv
玱	qlwv
锖	qljo
蔃	qlci
巧	qngk
悄	qnxo
瞧	qnoh
敲	qnwy
桥	qnml
乔	qnyl
俏	qnro
翘	qnyx
窍	qnbk
鞘	qngo
憔	qnxh
峭	qnuo
跷	qnzw
侨	qnrl
樵	qnmh
撬	qnfm
锹	qnjh
壳	qntj
谯	qnyh
橇	qnmm
诮	qnyo
荞	qncl
峤	qnul
愀	qnxh
劁	qnrd
硗	qnuw
鞒	qngl
硚	qnul
缲	qnsm
雀	qnxv
且	qpoa
切	qpqd
窃	qpbd
怯	qpxq
妾	qpln
茄	qpck
惬	qpxj
趄	qptq
锲	qpjd
伽	qprk
挈	qpfu
箧	qpvj
慊	qpxj
郄	qpxe
亲	qblm
秦	qbih
琴	qbwv
侵	qbry
勤	qbcl
寝	qbby
擒	qbfn
钦	qbjq
芹	qbcj
沁	qbdx
禽	qbrn
覃	qbxu
噙	qbkn
衾	qbry
揿	qbfq
芩	qbcv
溱	qbdh
吣	qbkx
嗪	qbkh
锓	qbjy
檎	qbmn
骎	qbmy
慬	qbxw
嵚	qbuq
梣	qbmv
请	qkyo
轻	qkij
清	qkdo
青	qkfo
情	qkxo
庆	qkgd
晴	qkoo
倾	qkry
卿	qkpg
擎	qkcu
顷	qkby
蜻	qkio
箐	qkvo
氢	qkqj
罄	qktf
磬	qktu
亲	qklm
綮	qkhx
氰	qkqo
黥	qklx
檠	qkcm
鲭	qkyo
苘	qkck
圊	qkko
碃	qkuo
庼	qkgy
勍	qkwl
倩	qkro
穷	qsbl
琼	qswx
穹	qsbg
茕	qscu
邛	qsge
筇	qsve
蛩	qsgi
銎	qsgj
䓖	qscl
求	qqud
球	qqwq
秋	qqhh
丘	qqja
邱	qqqe
囚	qqkr
裘	qqqy
酋	qqby
仇	qqrj
虬	qqiv
糗	qqmq
鳅	qqyh
蚯	qqiq
俅	qqrq
泅	qqdr
遒	qqzy
逑	qqzq
湫	qqdh
楸	qqmh
犰	qqqj
萩	qqch
蝤	qqiy
璆	qqwp
巯	qqji
赇	qqbq
鹙	qqhn
鞧	qqgy
鼽	qqzj
訄	qqjk
龟	qqdd
𨱇	qqjq
去	quTS
取	quey
区	qukx
趣	quty
曲	qukc
屈	quui
躯	quuq
驱	qumq
娶	quen
趋	qute
渠	qudm
觑	quhj
瞿	quov
岖	quuq
蛐	quiq
蛆	quiq
衢	qurv
祛	qupq
黢	qulw
癯	qubv
苣	qucj
阒	qumq
龋	quvy
蕖	qucm
蘧	qucu
朐	quoj
璩	quwu
劬	qujl
磲	quum
诎	quyi
蠼	quiy
焌	quhw
袪	qupq
氍	quom
鸲	qujn
麹	qufm
胠	quoq
灈	qudv
鼩	qujj
竘	qulj
岨	quuq
戌	quwa
㭕	qumq
䓛	quci
坥	qutq
𪨰	quuq
𫭟	qutq
全	qrrw
权	qrmy
拳	qrju
圈	qrkv
劝	qryl
泉	qrbu
犬	qrdd
券	qrjd
蜷	qriv
痊	qrbw
诠	qryw
荃	qrcw
颧	qrcy
绻	qrsv
铨	qrjw
筌	qrvw
鬈	qrev
醛	qryw
悛	qrxw
佺	qrrw
畎	qrtq
棬	qrmv
鳈	qryu
辁	qriw
婘	qrnv
瑔	qrwu
𨟠	qroe
却	qtqe
确	qtuy
缺	qtfg
雀	qtxv
瘸	qtbr
鹊	qtcn
阙	qtmq
阕	qtmt
榷	qtmv
炔	qthg
悫	qttx
碏	qtuo
埆	qtty
𬒈	qtxu
群	qyyy
裙	qypk
逡	qyzw
麇	qylh
囷	qykh
然	rjxh
染	rjdm
燃	rjhh
冉	rjkt
髯	rjer
苒	rjcr
蚺	rjir
䎃	rjrx
让	rhyu
嚷	rhkx
壤	rhtx
攘	rhfx
瓤	rhxg
禳	rhpx
穰	rhhx
瀼	rhdx
蘘	rhcx
儴	rhrx
绕	rcsw
扰	rcfy
饶	rcuw
娆	rcnw
桡	rcmw
荛	rccw
热	refh
惹	recx
人	rfPN
任	rfrt
认	rfyr
忍	rfrx
仁	rfre
刃	rfdd
韧	rfwr
壬	rfpt
饪	rfut
仞	rfrr
纫	rfsr
稔	rfhx
荏	rfct
妊	rfnt
衽	rfpt
轫	rfir
纴	rfst
讱	rfyr
葚	rfcb
仍	rgrn
扔	rgfn
日	rika
驲	rimo
容	rsbg
荣	rscm
融	rsgi
蓉	rscg
绒	rssu
溶	rsdg
戎	rsgu
榕	rsmg
茸	rsce
熔	rshg
冗	rsbj
嵘	rsum
镕	rsjg
蝾	rsim
狨	rsqu
瑢	rswg
肉	rznr
柔	rzmm
揉	rzfm
蹂	rzzm
糅	rzmm
鞣	rzgm
𫐓	rzim
如	runk
入	rupn
辱	ruic
乳	ruvv
儒	rure
茹	ruck
汝	rudn
蠕	ruie
孺	ruze
褥	rupc
嚅	ruke
濡	rude
缛	rusc
襦	rupe
溽	rudc
蓐	rucc
洳	rudk
薷	ruce
颥	ruyy
嬬	rune
铷	rujk
软	rriq
阮	rrey
堧	rrtd
瓀	rrwe
媆	rrnd
瑞	rvwe
锐	rvjx
蕊	rvcx
睿	rvbo
芮	rvcn
蚋	rvin
蕤	rvcu
枘	rvmn
汭	rvdn
润	rydw
闰	rymw
若	rock
弱	rogg
偌	rork
箬	rovk
婼	ronk
爇	roch
蒻	rocg
鄀	roce
撒	safw
洒	sadx
飒	salf
仨	sars
萨	saci
卅	saai
靸	sagj
挲	sadu
潵	sadw
脎	saom
赛	sdbb
塞	sdbt
腮	sdox
噻	sdkt
鳃	sdyx
三	sjae
散	sjcw
伞	sjru
叁	sjss
馓	sjuw
毵	sjsm
糁	sjmp
丧	shty
桑	shym
嗓	shkm
搡	shfm
颡	shyy
磉	shum
扫	scfe
骚	scmi
嫂	scny
搔	scfi
臊	scom
瘙	scbi
缫	scsg
埽	sctj
溞	scdi
色	sedb
瑟	sewb
涩	sedv
塞	sebt
啬	setk
穑	sehk
铯	sejb
璱	sewb
森	sfmm
僧	sgro
啥	uakg
傻	uarw
杀	uaxm
刹	uaxd
莎	uacu
煞	uadh
纱	uasu
沙	uadu
厦	uaiw
霎	uayn
砂	uauu
鲨	uady
裟	uady
铩	uajm
嗄	uakw
歃	uaqq
痧	uabu
唼	uakn
挲	uadu
杉	uamp
晒	udox
筛	udvj
色	uddb
山	ujkl
删	ujcd
闪	ujmr
善	ujyk
扇	ujhx
衫	ujpp
珊	ujwc
擅	ujfd
姗	ujnc
讪	ujyu
杉	ujmp
陕	ujej
煽	ujhx
膳	ujok
跚	ujzc
潸	ujdo
缮	ujsk
汕	ujdu
禅	ujpu
膻	ujod
赡	ujbk
鳝	ujyk
舢	ujvu
苫	ujcv
嬗	ujnd
鄯	ujye
骟	ujmx
蟮	ujik
墡	ujtk
剡	ujhd
疝	ujbu
芟	ujcu
埏	ujtv
钐	ujjp
嶦	ujuk
晱	ujoh
单	ujbu
栅	ujmc
烻	ujhv
𫮃	ujtu
上	uhba
伤	uhrl
商	uhwk
尚	uhxk
赏	uhxb
晌	uhok
裳	uhxy
殇	uhdp
觞	uhdp
熵	uhhk
墒	uhtk
绱	uhsk
垧	uhtk
少	ucxp
烧	uchw
稍	ucho
绍	ucsk
哨	ucko
邵	ucde
勺	ucbd
梢	ucmo
韶	uclk
劭	ucdl
捎	ucfo
芍	uccu
苕	ucck
艄	ucvo
筲	ucvo
潲	ucdo
蛸	ucio
睄	ucoo
召	ucdk
鞘	ucgo
柖	ucmk
玿	ucwk
射	ueuc
设	ueyu
舍	uerg
蛇	ueib
舌	ueqk
涉	uedu
摄	uefy
社	uept
奢	uedo
慑	uexy
赦	ueiw
折	uefj
佘	ueru
麝	uelc
赊	uebu
畲	uert
猞	ueqg
歙	uerq
阇	uemo
滠	uedy
厍	ueii
拾	uefk
𪨶	ueui
谁	uwyv
神	ufpu
深	ufdm
身	ufzc
甚	ufcb
什	ufru
伸	ufru
沈	ufde
审	ufbu
申	uftl
慎	ufxb
呻	ufku
渗	ufdp
婶	ufnu
绅	ufsu
肾	uflo
参	ufsp
莘	ufcx
珅	ufwu
蜃	ufii
哂	ufkx
谌	ufyb
娠	ufni
燊	ufhm
瘆	ufbp
椹	ufmb
葚	ufcb
砷	ufuu
糁	ufmp
棽	ufmv
诜	ufye
甡	ufuu
谂	ufyx
矧	uful
胂	ufou
侁	ufre
瞫	ufou
鲹	ufyp
屾	ufuu
𬬹	ufju
𬳽	ufme
生	ugpf
声	ugtu
圣	ugyt
胜	ugou
升	ugpc
省	uguo
剩	ugqd
盛	ugim
绳	ugsd
牲	ugnu
笙	ugvu
晟	ugoi
甥	ugul
昇	ugoc
乘	ugqr
嵊	ugur
眚	uguo
陞	uget
是	uiOZ
时	uioc
事	uigy
实	uibd
十	uial
师	uilj
使	uirl
屎	uium
世	uicv
始	uink
失	uipf
士	uiua
湿	uidy
石	uiak
识	uiyv
视	uipj
势	uifl
市	uiwj
室	uibt
式	uiyg
示	uiex
试	uiyg
史	uikn
食	uirg
施	uify
适	uizu
释	uicf
诗	uiyc
尸	uivp
氏	uipv
侍	uirc
拾	uifk
饰	uiuj
誓	uifk
驶	uimu
逝	uizj
狮	uiqj
匙	uiob
噬	uikr
仕	uirt
矢	uipd
拭	uifg
嗜	uiko
似	uirr
蚀	uiui
恃	uixc
柿	uimj
弑	uixg
轼	uiig
虱	uivi
谥	uiym
舐	uiuu
媞	uinz
什	uiru
豕	uiau
莳	uicc
筮	uivr
蓍	uico
螫	uiii
炻	uihu
鲥	uiyc
奭	uidb
湜	uidz
埘	uitc
酾	uiyd
祏	uipu
栻	uimg
贳	uiub
铈	uijj
鲺	uiyi
鼫	uiju
邿	uite
鸤	uiun
嘘	uiky
峙	uiuc
殖	uidq
浉	uidj
襫	uipb
䏡	uiou
䴓	uibn
𫚕	uiyj
𬤊	uiyz
手	uzpy
受	uzvy
收	uzjw
首	uzbz
守	uzbc
熟	uzwh
兽	uzbk
授	uzfy
瘦	uzby
售	uzrk
寿	uzfc
狩	uzqc
绶	uzsy
艏	uzvz
书	uuvd
数	uumw
术	uumd
树	uumc
属	uuuy
熟	uuwh
叔	uuuy
束	uugr
舒	uury
输	uuid
述	uuzu
殊	uudw
鼠	uujv
