〇	lgoo
勐	mrai
募	mjii
勠	ljao
勹	bzua
勿	wjua
匐	fjua
匜	ykva
匦	gbvv
区	xdvu
匼	kevi
十	ekuo
午	wjuv
卒	zjov
单	efou
卜	blio
卞	bmov
卟	bjoi
卣	ydiv
卤	ljiv
卯	mzua
厉	lkvu
厘	lkvu
参	enao
参	sfao
叆	xhvv
叇	dhvv
又	ydao
叕	flao
叚	jsav
叡	rbiv
句	gdua
叨	dzoa
召	ezau
吁	xlov
吁	ylov
吅	xtoo
吆	yzoa
合	geiv
吏	lkvi
吒	fsou
吓	heov
吔	yeoa
吝	lbov
吡	pkov
否	pkvu
吩	fnou
吱	zkou
吽	hdou
吽	hyou
吽	xdou
呆	dhov
呇	qkaa
呋	fjov
呒	xmov
呓	ykoi
呦	ydoa
呯	pgov
呱	gjou
呷	xsoi
咁	gfov
咁	xmov
咇	bkoo
咉	ypoi
咍	hhoa
咎	jqua
咥	ddov
咦	ykov
咨	zkov
咪	mkoo
咫	fkav
咲	xcoo
咴	hbov
咿	ykoi
哉	zhuo
哐	kmov
哐	kxov
哔	bkov
哕	yhoi
哚	dlou
哜	jkoo
哟	yloa
哢	lyov
哱	plou
哳	fsoi
唁	yfoo
唏	xkou
唑	zloi
唔	wjov
唣	zzou
唪	frov
唵	xfov
唿	hjou
啁	fzou
啁	qzou
啉	lbov
啉	lfov
啖	dfoo
啜	wloa
啻	wkov
喀	keoo
喁	yloi
喁	yyoi
喂	wwoi
喇	lsov
喋	ddov
喋	fsov
喑	yboo
喔	wjoa
喙	hboa
喤	hmou
喤	hxou
喰	qkoi
喳	wsov
喾	kjoo
嗄	xsov
嗌	xhoo
嗌	ykoo
嗐	hhoo
嗑	keov
嗒	tsoi
嗨	hwoa
嘏	gjuo
嘘	ekoi
嘞	lwov
嘱	qjoa
嘲	fzou
嘲	qzou
嘹	lcov
噀	xwoa
噇	wmoo
噇	wxoo
噍	jcoi
噎	yeov
噗	pjoi
噫	ykoo
噬	ekou
噱	jhoi
噱	xhoi
噷	hmoo
噼	pkoa
嚆	hzoi
嚏	tkou
嚣	xcoo
嚼	jhou
囝	jmia
囟	xbui
囤	dwia
囿	ydia
圊	qgia
圌	wtia
圐	kjia
圕	ttia
圙	lhia
圜	ytia
土	tjvo
圢	tgvo
圩	xlvo
圪	gevo
圫	ylvo
圬	wjvo
圮	pkvo
圯	ykvo
圳	qnvo
圻	ybvo
圾	jkvo
址	fkvo
坋	bnvo
坌	bnuo
坍	tfvo
坏	pwvo
坒	bkva
坜	lkvo
坞	wjvo
坥	qlvo
坩	gfvo
坭	nkvo
坯	pkvo
坻	wkvo
坽	lgvo
垎	hevo
垕	hduu
垚	yzvo
垞	wsvo
垡	fsiv
垣	ytvo
垩	xevi
垵	xfvo
垸	ytvo
垿	xlvo
埆	qhvo
埇	yyvo
埌	lpvo
埏	yfvo
埒	ldvo
埔	bjvo
埗	bjvo
埚	glvo
埤	pkvo
埯	xfvo
埵	dlvo
埼	qkvo
堉	ylvo
堋	prvo
堎	lrvo
堐	ysvo
堞	ddvo
堡	pjio
堰	yfvo
堼	frvo
塆	wfvo
塝	bpvo
塥	gevo
塱	lpoa
塾	ejov
墀	wkvo
墅	ejia
墈	kfvo
墘	qmvo
墚	lxvo
墡	efvo
墣	pjvo
墨	mlia
壅	yyov
壑	heiv
壕	hzvo
売	mhvo
夐	xyua
夤	ybua
大	dhvu
夼	kmvu
夼	kxvu
奁	lmvu
奇	jkvu
奓	eevu
奚	xkuo
奭	ekvv
妄	wpov
妆	fmov
妆	fxov
妊	rnau
妓	jkau
妘	ywau
妣	bkau
妧	wfau
妪	ylau
妫	wwau
妼	bkau
姝	ejau
姣	jcau
姣	xcau
姤	gdau
姥	mjau
姬	jkau
姶	xeau
姹	wsau
姻	ybau
姽	gbau
娈	ltov
娠	enau
娱	ylau
娴	xmau
娵	jlau
婀	xeau
婌	ejau
婍	qkau
婠	wfau
婤	fdau
婫	hwau
婺	wjao
媄	mwau
媓	hmau
媓	hxau
媚	mwau
媛	ytau
媭	xluu
媱	yzau
媳	xkau
媾	gdau
嫁	jsau
嫄	ytau
嫉	jkau
嫕	ykau
嫠	lkvv
嫡	dkau
嫣	yfau
嫫	mlau
嫭	hjau
嬉	xkau
嬖	bkav
嬗	efau
嬛	htau
嬴	ygov
嬷	mlau
孑	jdai
孖	zkai
孚	fjuo
孛	bwuo
季	jkuv
孳	zkou
孵	fjua
宇	yloo
宓	fjoo
宓	mkoo
宙	fdoo
实	ekoo
宸	jnoo
寂	jkoo
寇	kdoo
寤	wjoo
寨	fhoo
寨	qhoo
寮	lcoo
寰	htoo
尉	wwav
尖	jmiu
尛	mliu
尤	ydvu
尨	lyvu
尾	ykav
屁	pkav
屃	xkav
届	jdav
屎	ekav
屐	jkav
履	llav
屦	jlav
屹	ykia
屺	qkia
屼	wjia
屾	enia
屿	ylia
岊	jdai
岌	jkia
岐	qkia
岖	qlia
岜	bsia
岢	keia
岬	jsia
岽	dyia
岿	kbia
峁	mzia
峂	tyia
峃	xhoo
峒	tyia
峘	htia
峙	ekia
峙	fkia
峡	xsia
峣	yzia
峤	jcia
峤	qcia
峥	qria
峧	jcia
峨	xeia
峪	ylia
峱	nzua
峸	jria
崁	kfia
崃	lhia
崌	jlia
崎	qkia
崖	ysia
崚	lgia
崛	jhia
崞	glia
崟	ybia
崡	hfia
崧	syia
崭	qfia
崶	fria
崿	xeia
嵌	qmia
嵖	wsia
嵚	qbia
嵛	ylia
嵫	zkia
嵴	jkia
嶂	qpia
嶍	xkia
嶦	qfia
巅	dmia
巇	xkia
巫	wjvi
差	ckou
巷	xxvi
巽	xwav
巾	jbia
帘	lmoo
帚	fdav
帜	fkia
帧	qria
帷	wwia
帼	glia
幂	mkoa
幄	wlia
幞	fjia
幡	ffia
幽	ydia
庀	pkov
庄	fmov
庄	fxov
庐	ljov
庑	wjov
庖	pzov
庱	jrov
庳	bkov
庶	ejov
庾	ylov
廆	gbov
廋	sdov
廑	jbov
廒	xzov
廖	lcov
廨	xdov
廾	gyvu
弆	jlvo
弇	yfiv
弈	ykov
弋	ykva
弑	ekuo
弘	hyav
弛	wkav
弜	jxav
弢	tzav
弩	njau
弸	prav
强	jxav
彀	gdvo
彐	jkav
彗	hbvv
彘	fkaa
彦	yfov
彭	bpvo
後	hduu
徛	jkuu
徵	fkuu
徵	qruu
忆	ykoo
忉	dzoo
忌	jkav
忡	wyoo
忤	wjoo
忭	bmoo
忮	fkoo
忺	xmoo
怃	wjoo
怄	xdoo
怍	fsoo
怍	zloo
怙	hjoo
急	jkua
怫	fjoo
怹	tfio
恃	ekoo
恍	hmoo
恍	hxoo
恓	xkoo
恔	xcoo
恙	ypou
恝	jsvv
恪	keoo
恭	gyvi
恶	wjvi
恺	khoo
恽	ywoo
恿	yyao
悈	jdoo
悉	xkuo
悍	hfoo
悒	ykoo
悚	syoo
悫	qhvo
悭	qmoo
悲	bwiv
悸	jkoo
悻	xgoo
惋	wfoo
惎	jkvi
惔	tfoo
惕	tkoo
惝	jpoo
惬	qdoo
惮	dsoo
惺	xgoo
愀	qcoo
愉	yloo
意	ykov
愚	ylia
愦	kboo
愫	sjoo
愭	qkoo
慕	mjii
慜	mbuv
慝	tevi
慥	zzoo
慬	qboo
慭	ybvo
慰	wwav
慵	yyoo
憔	qcoo
憕	jroo
憙	xkvo
憧	wyoo
憩	qkuv
憬	jgoo
憷	jjoo
憾	hfoo
懿	ykvo
戆	fmov
戆	fxov
戊	wjvu
戍	ejvu
戗	qxia
戚	qkvu
戡	kfvi
戥	droi
戬	jmvi
戮	ljao
戽	hjoa
戾	lkoa
扉	fwoa
扊	yfoa
手	ediu
扞	hfiu
扦	qmiu
执	fkiu
扮	bfiu
抉	jhiu
折	eeiu
抚	fjiu
抡	lwiu
拂	fjiu
拃	fsiu
拊	fjiu
拌	bfiu
拘	gdiu
拘	jliu
拚	pfiu
拤	qsiu
择	fhiu
择	qhiu
拭	ekiu
拮	jsiu
拽	yeiu
拾	eeiu
拾	ekiu
挓	fsiu
挚	fkiu
挟	xdiu
挢	jciu
挲	slai
捂	wjiu
捌	bsiu
捍	hfiu
捡	jmiu
捩	ldiu
捯	dziu
捱	xhiu
捷	jdiu
捻	nmiu
掂	dmiu
掊	pdiu
掎	jkiu
措	cliu
掮	qmiu
掰	bhiu
掳	ljiu
掷	fkiu
掸	efiu
掺	xmiu
掾	ytiu
揆	kbiu
提	dkiu
揕	qniu
揖	ykiu
揭	jdiu
揭	qkiu
揲	eeiu
揶	yeiu
揸	fsiu
揽	lfiu
揿	qbiu
搏	bliu
搛	jmiu
搽	wsiu
搿	geiu
摅	ejiu
摛	wkiu
摞	lliu
摩	mlov
摩	msov
摴	jjiu
摺	feiu
摺	qeiu
撂	lciu
撅	jhiu
撖	hfiu
撬	qciu
撮	cliu
撮	zliu
擂	lwiu
擘	blav
擢	fliu
擿	tkiu
攉	hliu
攫	jhiu
支	fkuo
攸	ydii
攻	gyvi
攽	bfuo
敉	mkou
敔	ylvi
敕	wkvi
敖	xzvv
敝	bkou
敞	jpio
敦	dbov
敫	jcui
敷	fjvi
斛	hjua
斧	fjuo
於	ylov
施	ekov
旃	qfov
旒	lqov
旗	qkov
日	rkoi
旴	xloi
旵	jfoi
旻	mboi
旿	wjoi
昈	hjoi
昒	hjoi
昡	xtoi
昤	lgoi
昫	xloi
昱	yloi
昳	ddoi
昳	ykoi
昼	fdav
晁	jzoi
晁	wzoi
晅	xtoi
晏	yfoi
晔	yeoi
晖	hboi
晗	hfoi
晢	feiu
晢	qeiu
晪	tmoi
晫	floi
晱	efoi
晶	jgoi
晷	gboi
智	fkuv
暌	kboi
暧	xhoi
暮	mjii
暴	pjoi
暵	hfoi
暹	xmoi
暿	xkoi
曈	tyoi
曌	fzoi
曌	qzoi
曙	ejoi
曝	bzoi
曝	pjoi
曦	xkoi
曰	yhoi
曳	yeia
曷	heoi
朋	pruu
朐	qluu
期	jkvi
札	fsva
术	qjvo
朴	pcvi
杈	wsva
杉	esvu
杏	xgvo
杓	bcvu
杕	dkvv
杙	ykvv
杞	qkva
杵	jjvu
枅	jkvv
枇	pkvv
枍	ykvu
枒	ysvv
林	lbvv
枞	zyvi
枥	lkvv
枧	jmvi
枨	jrvu
枲	xkao
枳	fkvo
枵	xcvo
柁	dlvo
柁	tlvo
柃	lgvi
柑	gfvv
柒	qkav
柙	xsvi
柚	ydvi
柝	tlvu
柢	dkvu
查	fsvo
柩	jqvv
柷	qjvo
柽	jrva
柿	ekvo
栅	efvu
栈	qfvv
栉	fkvi
栊	lyvv
栖	qkvv
栗	lkvi
栱	gyvv
核	hjvo
栻	ekvv
栾	ltov
桁	hpvu
桅	wwvu
桊	jtou
桓	htvv
桔	jdvv
桕	jqvu
桡	nzvv
桦	hqvi
桧	hbvi
桨	jxov
桲	blvu
桴	fjvu
桹	lpvo
梆	bpvv
梌	tjvi
梠	llvo
梧	wjvv
梳	ejvo
梼	tzvv
梽	fkvv
梿	lmvv
棐	fwiv
棓	bpvo
棘	jkvi
棣	dhva
棪	yfvo
棱	lgvv
棻	fnii
棼	fnvv
棽	jnvv
椅	ykvv
植	fkvu
椑	bwvu
椓	flvv
椠	qmva
椸	ykvo
椹	qnvv
椿	jwvv
楔	xdvv
楘	mjao
楙	mzva
楝	lmvv
楫	jkvo
楮	jjvu
楷	jdvv
楹	ygva
榆	ylvi
榇	jnvo
榍	xdva
榑	fjvv
榖	gjuo
榘	jluv
榙	tsvi
榛	qnvv
榭	xdvu
榴	lqvu
榻	tsvo
槊	elou
槎	wsvo
槎	xsvo
槑	mwov
槚	jsvv
槛	jmvi
槛	kfvi
槠	qjvo
槭	qkvv
槿	jbvv
樗	jjvv
樘	tpvi
樵	qcvi
樾	yhvv
橞	hbvv
橡	xxvu
橥	qjua
橦	tyvo
橱	jjvv
橹	ljvu
橼	ytva
檀	tfvo
檄	xkvu
檎	qbvi
檐	yfvu
檑	lwvv
檗	blav
檠	qgii
檩	lbvo
櫆	kbvu
欂	blvi
欷	xkuo
欹	qkvu
欹	ykvu
欺	qkvi
欻	xlou
歅	yfvi
歆	xbov
歙	eeiv
歙	xkiv
殂	cjvu
殆	dhvu
殖	ekvu
殖	fkvu
殚	dfvu
殛	jkvu
殪	ykvu
殷	yfuu
毂	gjvo
毅	ykov
毐	xhvo
毓	yluv
毖	bkva
毗	pkia
毪	mjuv
毹	ejiv
毽	jmuv
氍	qlia
氏	ekua
氏	fkua
氐	dkua
氘	dzuv
氟	fjuv
氡	dyuv
氪	keuv
氯	lluv
氰	qguv
氿	gbau
汐	xkau
汛	xwaa
汜	skaa
汧	qmav
汨	mkao
汩	ylao
汫	jgav
汲	jkau
汴	bmao
沂	ykau
沄	ywav
沅	ytav
沇	yfaa
沏	qkav
沔	mmav
沚	fkai
沤	xdav
沥	lkav
沭	ejav
泊	plau
泜	fkau
泠	lgai
泫	xtao
泱	ypai
泶	xhoo
泺	llau
洇	ybai
洈	wwau
洎	jkau
洑	fjai
洙	qjau
洣	mkao
津	jbaa
洧	wwav
洫	xlau
洮	tzau
洳	rjaa
洿	wjav
浆	jxov
浍	hbai
浐	jfao
浒	hjao
浚	jwaa
浚	xwaa
浛	hfai
浟	ydai
浣	htao
浬	lkai
浯	wjav
浰	lkau
浲	frau
涎	xmau
涐	xeau
涘	skaa
涡	wlao
涧	jmao
涪	fjao
淅	xkav
淇	qkav
淑	ejai
淜	pgau
淝	fwau
淟	tmai
淤	ylao
渌	ljaa
渎	djau
渔	ylau
渖	enao
渝	ylai
渤	blau
渥	wlaa
渫	xdav
渭	wwai
湑	xlaa
湔	jmao
湜	ekao
湝	jdav
湣	mbaa
湫	jcau
湮	yfav
湲	ytau
溆	xlai
溢	ykao
溧	lkav
溪	xkau
溵	ybau
溽	rjav
滁	jjaa
滍	fkaa
滏	fjau
滓	zkao
滟	yfav
滪	ylaa
漪	ykau
漯	llai
漯	lwai
漱	ejav
漳	qpao
漺	emav
漺	exav
漻	lcaa
潆	ygai
潍	wwaa
潞	ljao
潟	xkau
潩	ykai
潲	ezau
潴	qjau
潽	pjao
澂	jrai
澉	gfaa
澌	skav
澍	qjav
澥	xdau
澭	yyao
澴	htai
澼	pkaa
澽	jlai
濉	sbai
濞	bkau
濞	pkau
瀔	gjau
瀛	ygao
瀱	jkai
瀴	ygaa
灀	exav
灏	hzao
炀	ypou
炅	gboi
炆	wnou
炎	yfou
炕	kpou
炙	fkua
炜	wwou
炝	qxou
炟	dsou
炮	bzou
炱	thao
炷	qjou
炽	wkou
烈	ldvu
烙	llou
烜	xtou
烠	hbou
烨	yeou
烶	tgou
焆	jtou
焉	yfvi
焐	wjou
焓	hfou
焗	jlou
焯	flou
焯	jzou
焯	wzou
焰	yfou
煁	jnou
煃	kbou
煊	xtou
煎	jmou
煟	wwou
煦	xloi
煲	bzio
熄	xkou
熙	xkvi
熟	edov
熠	ykou
熥	trou
熻	xkou
燊	enou
燋	jcou
燏	ylou
燕	yfvi
燚	ykou
燠	ylou
燥	zzou
燧	sbou
燮	xdov
燹	xmvu
爇	rlii
爝	jhou
牂	zpai
牚	jrio
牡	mjuv
牮	jmiv
牯	gjuv
牲	eruv
牺	xkuv
牾	wjuv
犁	lkuv
犊	djuv
犋	jluv
犟	jxav
犨	wdio
犯	ffua
犰	qqua
狈	bwua
狉	pkua
狐	hjua
狝	xmua
狴	bkua
猁	lkua
猃	xmua
猗	ykua
猥	wwua
猹	wsua
猺	yzua
獒	xzvv
獬	xdua
獯	xwua
玃	jhua
玄	xtov
玑	jkvv
玕	gfvv
玘	qkvv
玙	ylvv
玠	jdvv
玦	jhvv
玮	wwvv
玶	pgvv
玹	xtvv
玺	xkua
珂	kevv
珅	envv
珋	lqvv
珌	bkvv
珏	jhvv
珐	fsvv
珑	lyvv
珒	jbvv
珕	lkvv
珛	xqvv
珝	xlvv
珪	gbvv
珲	hbvv
珵	jrvv
珸	wjvv
珹	jrvv
珺	jwvv
琀	hfvv
琈	fjvv
琊	ysvv
琎	jbvv
琚	jlvv
琟	wwvv
琡	ejvv
琥	hjvv
琦	qkvv
琬	wfvv
琭	ljvv
琯	gtvv
琰	yfvv
瑀	ylvv
瑂	mwvv
瑆	xgvv
瑓	lmvv
瑗	ytvv
瑜	ylvv
瑝	hmvv
瑝	hxvv
瑢	ryvv
瑬	lqao
瑰	gbvv
瑱	tmvv
璁	cyvv
璋	qpvv
璎	ygvv
璐	ljvv
璟	jgvv
璧	bkav
璨	cfvv
璮	tfvv
璱	sevv
璿	xtvv
瓖	xxvv
瓠	hjvu
瓯	xdvu
瓴	lgio
瓻	wkuo
瓿	bjov
甄	qnvi
甍	mrii
甏	brvo
甙	dhvv
甡	enuv
甥	eruv
甪	ljuu
甫	fjvi
甬	yyao
甯	ngoo
町	dgia
町	tgia
甾	zkaa
畀	bkia
畎	qtia
畏	wwia
畖	wsia
畛	qnia
畜	xlov
番	ffuo
番	pfuo
畯	jwia
畲	eeiv
畴	wdia
畹	wfia
疍	dfai
疑	nkua
疔	dgov
疖	jdov
疙	geov
疠	lkov
疡	ypov
疰	qjov
疵	ckov
痃	xtov
痄	fsov
痈	yyov
痉	jgov
痖	ysov
痞	pkov
痢	lkov
痣	fkov
痱	fwov
痹	bkov
瘀	ylov
瘃	qjov
瘅	dfov
瘆	enov
瘌	lsov
瘕	jsov
瘕	xsov
瘘	ldov
瘛	wkov
瘟	wnov
瘢	bfov
瘥	jhov
瘫	tfov
瘰	llov
瘴	qpov
瘵	fhov
瘵	qhov
瘸	qhov
癀	hmov
癀	hxov
癍	bfov
癗	lwov
癜	dmov
癣	xtov
皋	gzui
皑	xhui
皙	xkvu
皛	xcui
皤	plui
盅	fyia
益	ykou
盍	hevo
监	jmii
盖	geou
盦	xfio
盱	xlia
眄	mmia
眇	mcia
眙	wkia
眢	ytua
眦	zkia
眭	gbia
眭	sbia
眵	wkia
睄	qcia
睇	dkia
睑	jmia
睢	hbia
睢	sbia
睥	pkia
睫	jdia
瞀	mzao
瞎	xsia
瞢	mrii
瞩	qjia
瞫	enia
瞵	lbia
瞽	gjvo
矍	jhia
矜	gtao
矜	jbao
矞	xlao
矢	ekuv
矫	jcuv
矶	jkvu
矸	gfvu
矻	kjvu
矾	ffvu
砄	jhvu
砆	fjvu
砉	xlvv
砌	qkvu
砒	pkvu
砜	frvu
砝	fsvu
砟	fsvu
砠	jlvu
砦	fhiv
砦	qhiv
砫	qjvu
砬	lkvu
砮	njau
砵	blvu
砹	xhvu
砻	lyvu
砾	lkvu
硊	wwvu
硌	gevu
硒	xkvu
硔	hyvu
硖	xsvu
硗	qcvu
硙	wwvu
硚	qcvu
硷	jmvu
硼	prvu
碁	qkvi
碚	bwvu
碜	jnvu
碣	jdvu
碥	bmvu
碱	jmvu
碲	dkvu
磏	lmvu
磡	kfvu
磬	qgvo
磻	blvu
礌	lwvu
礴	blvu
示	ekvv
祀	skoa
祁	fkoa
祁	qkoa
祆	xmoa
祈	qkoa
祉	fkoa
祎	ykoa
祏	ekoa
祐	ydoa
祓	fjoa
祗	fkoa
祜	hjoa
祟	sbai
祢	mkoa
祥	xxoa
祭	jkua
祲	jboa
祺	qkoa
祼	gtoa
禀	bgov
禅	efoa
禅	jfoa
禊	xkoa
禋	yboa
禒	xmoa
禔	fkoa
禔	tkoa
禘	dkoa
禚	floa
禤	xtoa
禹	ylui
禽	qbio
秆	gfuv
秕	bkuv
秤	jruv
秩	fkuv
秫	ejuv
秭	zkuv
稆	lluv
稌	tjuv
稑	ljuv
稚	fkuv
稠	wduv
稷	jkuv
稹	qnuv
穙	pjuv
穸	xkoo
窅	yzoo
窈	yzoo
窊	wsoo
窖	jcoo
窠	keoo
窣	sjoo
窨	xwoo
窨	yboo
窭	jloo
窳	yloo
竑	hyov
竘	qlov
竞	jgov
笃	djuv
笈	jkuv
笕	jmuv
笛	dkuv
笮	zeuv
笱	gduv
笳	jsuv
笺	jmuv
筀	gbuv
筅	xmuv
筏	fsuv
筑	qjuv
筠	ywuv
筤	lpuv
筥	jluv
筦	gtuv
筱	xcuv
筵	yfuv
筶	gzuv
筻	gpuv
筼	ywuv
箅	bkuv
箓	ljuv
箔	bluv
箝	qmuv
箦	zeuv
箨	tluv
箪	dfuv
箱	xxuv
箸	qjuv
篁	hmuv
篁	hxuv
篙	gzuv
篚	fwuv
篥	lkuv
篦	bkuv
篪	wkuv
篱	lkuv
篼	dduv
簃	ykuv
簏	ljuv
簸	bluv
籀	fduv
籍	jkuv
籼	xmou
粑	bsou
粝	lkou
粞	xkou
粤	yhui
粳	jgou
粿	glou
糈	xlou
糊	hjou
糍	ckou
糒	bwou
糗	qqou
糜	mkov
糨	jxou
糵	ndii
系	jkua
絜	xdvv
絮	xlau
綦	qkvi
縠	hjvo
縻	mkov
繁	pluv
繄	ykvu
繇	yduo
纡	ylaa
纣	fdaa
约	yzaa
纨	wfaa
纪	jkaa
纮	hyaa
纴	rnaa
纶	gtaa
纻	qjaa
纼	qnaa
绁	xdaa
绂	fjaa
绅	enaa
织	fkaa
绉	fdaa
绋	fjaa
绛	jxaa
络	llaa
绞	jcaa
绡	xcaa
绤	xkaa
继	jkaa
绨	tkaa
绩	jkaa
绮	qkaa
绯	fwaa
绰	jzaa
绰	wzaa
绹	tzaa
综	zraa
缁	zkaa
缃	xxaa
缄	jmaa
缈	mcaa
缊	ywaa
缋	hbaa
缍	dlaa
缏	bmaa
缐	xmaa
缒	fbaa
缕	llaa
缡	lkaa
缢	ykaa
缣	jmaa
缧	lwaa
缪	mcaa
缱	qmaa
缲	szaa
缳	htaa
缴	flaa
缶	fduv
罍	lwia
罡	gpia
罨	yfia
罱	lfia
罴	pkia
罶	lqia
羁	jkia
羑	ydou
羝	dkou
羟	qxou
羼	jfav
羽	ylao
羿	ykao
翂	fnao
翈	xsia
翌	ykao
翎	lgio
翙	hbia
翚	hbao
翛	xcii
翡	fwiv
翥	qjuo
翮	hevo
翯	heao
翷	lbou
翼	ykao
翾	xtia
耄	mzuo
耆	qkuo
耋	dduo
耏	xjvu
耥	tpvv
耦	xdvv
耰	ydvv
耱	mlvv
聩	kbvi
聿	ylav
肄	ykua
肆	skvi
肇	fzoa
肇	qzoa
肢	fkuu
肤	fjuv
肫	jwuv
肴	yzuo
肷	qmuu
肸	xkuu
胃	wwia
胈	bsuv
胍	gquu
胣	wkuu
胤	ybua
胫	jgua
胬	njau
胰	ykuv
脂	fkuu
脉	mluo
脊	jkov
脒	mkuo
脘	wfuo
脯	fjuv
腈	jguv
腌	xsuv
腑	fjuo
腒	jlua
腱	jmua
腴	yluu
腽	wsuo
膂	llov
膝	xkuv
膨	pruv
膻	dfuo
膻	efuo
臂	bkav
臌	gjuv
臼	jqui
臾	ylui
舀	yzuo
舄	xkui
舐	ekuv
舣	ykuu
舨	bfuu
舭	bkuu
舶	bluu
舷	xmuu
舾	xkuu
艉	wwuu
艋	mruu
艎	hmuu
艎	hxuu
艴	fjav
艽	jcii
艾	ykii
芃	prii
芍	ezii
芑	qkii
芒	mpii
芟	efii
芡	qmii
芤	kdii
芥	jdii
芩	qbii
芫	yfii
芫	ytii
芭	psii
芮	rbii
芯	xbii
芴	hjii
芴	wjii
芷	fkii
芾	fwii
苁	cyii
苇	wwii
苈	lkii
苉	pkii
苊	xeii
苋	xmii
苌	jpii
苎	qjii
苓	lgii
苘	qgii
苞	bzii
苡	ykii
苣	jlii
苣	qlii
苴	jlii
苴	wsii
苹	prii
苻	fjii
苾	bkii
茀	fjii
茁	flii
茄	jsii
茅	mzii
茆	mzii
茇	bsii
茈	ckii
茉	mlii
茋	fkii
茎	jgii
茚	ybii
茝	jhii
茬	wsii
茭	jcii
茱	qjii
茲	ckii
茲	zkii
茴	hbii
茵	ybii
茸	ryii
茽	fyii
荁	htii
荄	ghii
荆	jgii
荇	xgii
荏	rnii
荐	jmii
荑	ykii
荓	pgii
荔	lkii
荖	lzii
荚	jsii
荜	bkii
荞	qcii
荦	llii
荧	ygii
荨	qmii
荨	xwii
荩	jbii
荭	hyii
荸	bkii
荻	dkii
莅	lkii
莆	fjii
莆	pjii
莎	slii
莒	jlii
莘	enii
莛	tgii
莜	ydii
莪	xeii
莹	ygii
莺	ygii
莼	jwii
莿	ckii
菀	wfii
菀	ywii
菁	jgii
菅	jmii
菈	lsii
菊	jlii
菍	ndii
菏	heii
菔	fjii
菖	jpii
菘	syii
菝	bsii
菟	tjii
菠	blii
菥	xkii
菩	pjii
菪	dpii
菰	gjii
萋	qkii
萘	nhii
萤	ygii
萦	ygii
萩	qqii
萸	ylii
萹	bmii
葆	bzii
葖	tjii
葙	xxii
葚	enii
葚	rnii
葡	pjii
葰	jwii
葸	xkii
葺	qkii
蒄	gtii
蒎	phii
蒗	lpii
蒨	qmii
蒯	kgii
蒱	pjii
蒲	pjii
蒺	jkii
蒻	rlii
蓁	qnii
蓂	mgii
蓇	gjii
蓍	ekii
蓟	jkii
蓠	lkii
蓢	lpii
蓣	ylii
蓦	mlii
蓰	xkii
蓼	ljii
蓿	xlii
蔃	qxii
蔊	hfii
蔬	ejii
蔹	lmii
蔼	xhii
蕃	blii
蕈	xwii
蕗	ljii
蕙	hbii
蕡	fnii
蕤	rbii
蕥	ysii
蕰	ywii
蕻	hyii
蕾	lwii
薇	wwii
薏	ykii
薜	bkii
薢	xdii
薯	ejii
薷	rjii
薹	thii
藓	xmii
藕	xdii
藜	lkii
藟	lwii
藨	bcii
藩	ffii
蘑	mlii
蘧	qlii
蘩	ffii
虍	hjiv
虓	xcua
虔	qmiv
虤	yfiv
虬	qqia
虵	eeia
虷	hfia
虸	zkia
虼	geia
蚀	ekua
蚣	fyia
蚧	jdia
蚪	ddia
蚬	xmia
蚰	ydia
蚱	fsia
蚲	pgia
蛀	qjia
蛄	gjia
蛆	qlia
蛉	lgia
蛊	gjia
蛎	lkia
蛏	jria
蛑	mdia
蛘	ypia
蛛	qjia
蛤	geia
蛩	qyvi
蛰	feiu
蛰	qeiu
蛱	jsia
蛳	skia
蛴	qkia
蛸	xcia
蜀	ejia
蜃	envu
蜊	lkia
蜍	jjia
蜎	ytia
蜘	fkia
蜚	fwiv
蜢	mria
蜥	xkia
蜩	tcia
蝌	keia
蝗	hmia
蝗	hxia
蝠	fjia
蝣	ydia
蝤	qqia
蝮	fjia
蝰	kbia
蝲	lsia
蝻	nfia
蝼	ldia
蝽	jwia
蝾	ryia
螈	ytia
螋	sdia
螗	tpia
螟	mgia
螨	mfia
螫	ekvo
螯	xzvv
螱	wwav
螺	llia
蟆	msia
蟋	xkia
蟠	pfia
蟥	hmia
蟥	hxia
蟪	hbia
蟫	ybia
蟹	xdua
蟾	jfia
蠃	llov
蠋	qjia
蠓	mria
蠖	hlia
蠲	jtou
行	hruu
衔	xmuu
衩	wsoa
衫	efoa
衰	cbov
衾	qbio
衿	jboa
袒	tfoa
袗	qnoa
袪	qloa
被	pkoa
袭	xkvu
袯	bloa
袱	fjoa
袴	kjoa
袷	jsoa
裁	chuo
裎	jroa
裒	pdov
裔	ykov
裟	esai
裣	lmoa
裥	jmoa
裰	dloa
裳	epio
裳	jpio
裼	xkoa
裾	jloa
褊	bmoa
褐	heoa
褚	feoa
褚	qeoa
褛	lloa
褟	tsoa
褫	wkoa
褯	jdoa
褰	qmoo
襄	xxov
襚	sboa
襻	pfoa
见	xmia
觃	yfia
视	ekoa
觊	jkia
觋	xkvi
觌	dkuo
觍	tmia
觎	yliv
觐	jbvi
觑	qliv
觖	jhua
觜	zkiv
解	xdua
觫	sjua
觱	bkvu
觿	xkua
訄	qqua
訚	yboi
訾	zkiv
詈	lkia
詟	fevu
詟	qevu
詧	wsua
誉	yloo
誓	ekiu
譬	pkav
讥	jkoa
讪	efoa
讱	rnoa
