的	dbui
裺	ynoa
巘	ysia
曮	yqia
黬	yhia
黭	yhia
顩	yyuo
顩	qyuo
甗	ywie
鰋	yvua
鶠	ynei
黤	yhia
齞	ycie
齞	ncie
龑	yloe
齴	ycie
妟	yqia
觃	yjia
牪	ynue
姲	ynau
偐	yrui
掞	sfei
焔	yhou
萒	ycei
遃	yloe
隒	yvai
椼	ymei
硽	yseu
噞	ykia
躽	ysui
縯	yjaa
檿	ymeu
黡	yheu
褗	ynoa
戭	ygoo
蝘	ycia
酓	yyuo
嵃	ysia
愝	yloo
扊	yhoa
揜	yfei
棪	ymei
渰	ydoo
渷	ydoo
厳	yxoo
壛	ytei
巌	ysia
匽	ykei
弇	ynuo
豓	yvee
咉	ykia
姎	ynau
抰	yfei
胦	yvua
眏	ymia
鉠	yjuo
雵	yveo
羊	xdou
阦	yvai
嬊	ynei
鴈	yceu
燄	ydua
贘	sbia
觾	yjua
讌	yyoe
醼	yyei
驠	ymei
灧	ydoo
鷰	ynei
艷	yvee
灎	ydoo
鬳	jhie
鬳	yhie
曕	yqia
鴳	ynoo
酀	yvei
騐	ymei
験	ymei
嚥	ykia
嬿	ynau
艶	yqia
贋	ybeu
軅	ysui
爓	yhou
醶	yyei
騴	ymei
鷃	ynia
灔	ydoo
隁	yvai
喭	ykia
敥	yqou
猒	yqia
鳫	yceu
墕	ytei
暥	yqia
熖	yhou
椻	ymei
葕	ycei
膹	fvua
仹	frui
凨	fjua
凬	fjua
妦	fnau
秎	fhue
瞓	fmia
黺	fdii
沨	fdoo
凮	fjua
盽	fmia
偑	frui
桻	fmei
琒	fwee
崶	fsia
犎	fnei
寷	fgoo
蘴	fcei
靊	fveo
飌	ffei
麷	fmei
堸	ftei
夆	fwua
捀	ffei
浲	fdoo
峯	fsia
溄	fdoo
猦	fqua
僼	frui
篈	fpue
鄷	fvia
檒	ffei
鎽	fjuo
鏠	fjuo
妚	pnau
缹	ffue
缻	ffae
雬	fveo
鴀	fneu
妋	ynau
姇	fnui
枎	fmei
玞	fwee
坲	ftei
梻	fmei
垺	ptei
垺	ftei
紑	fjaa
蘕	fcei
瓰	fwea
瓰	wwea
覅	fxei
仏	frui
覂	fxei
艂	fzuu
摓	ffei
綘	fjaa
湗	fdoo
焨	fhou
煈	fhou
赗	fbia
鳯	fjua
甮	fyua
鴌	fnee
豧	fseu
鳺	fnee
甶	ftui
冹	fdoe
刜	flae
糐	fmou
麬	fmei
麱	fmei
懯	fxei
乀	fzaa
巿	fhei
鈇	fjuo
筟	fpue
綒	fjaa
鄜	floe
酜	fyei
伕	frui
邞	fvee
怤	fxui
柎	fmei
砆	fseu
胕	fvua
荂	kcei
荂	fcei
衭	fnoa
娐	fnau
尃	fcei
荴	fcei
旉	ffei
紨	fjaa
畗	fwoe
烰	fhou
琈	fwee
翇	fvao
翇	pvao
笰	fpue
虙	fhie
虙	lhie
棴	fmei
絥	fjaa
罦	fzia
葍	fcei
鉘	fjuo
鉜	fjuo
颫	ffua
粰	fmou
綍	fjaa
艀	fzuu
泭	fdoo
拂	bfei
咈	fkia
岪	fsia
帗	bjia
帗	fjia
彿	fcuu
芣	fcei
茀	fcei
韨	fwee
鳬	fjui
哹	fkia
栿	fmei
洑	fdoo
炥	fhou
玸	fwee
畉	ftia
畐	ftei
垘	ftei
枹	fmei
枹	bmei
柫	bmei
柫	fmei
蜅	fcia
鬴	fhei
簠	fpue
釡	fbuo
捬	ffei
椨	fmei
焤	fhoe
盙	fmei
坿	ftei
竎	floe
蚥	fcia
袝	fnoa
陚	wvai
偩	frui
冨	fgoa
峊	fsui
祔	fnoa
澓	fdoo
幞	pjia
榑	fmei
稪	fhue
箙	fpue
髴	fbei
鴔	fnuo
諨	fyoe
踾	fzia
鮄	fvua
癁	fboe
呒	fkia
襥	pnoa
鵩	fnua
鶝	fnei
鮲	fvua
弣	fgae
俌	frui
郙	fvei
俯	trui
葢	gcei
槩	gmae
槪	gmei
漑	gdoo
瓂	gwee
干	qvee
忓	gloo
芉	gcei
迀	glee
攼	gwee
干	hvee
盖	hyou
摡	gfei
摡	xfei
乢	gsia
匃	gbua
匄	gbua
杚	gmei
絠	gjaa
鎅	gjuo
賌	gboe
忋	gloo
郂	gvoe
豥	gseu
酐	hyei
粓	gmou
亁	gsei
亁	qsei
凲	gjua
尲	gyeu
玕	gwee
筸	gpue
漧	gdoo
漧	qdoo
鳱	gnee
尶	gheu
魐	ggui
仠	qrui
皯	gpau
衦	gnoa
簳	gpue
鳡	gvua
桿	gmei
笴	gpue
尜	gxiu
玍	gwue
錷	gjuo
尕	nxau
猤	gqua
旮	xqua
嘠	gkia
姟	gnau
峐	gsia
荄	gcei
晐	gqia
魀	ggui
侅	krui
侅	grui
畡	gtia
祴	gnoa
祴	jnoa
絯	hjaa
絯	gjaa
隑	gvai
隑	qvai
緮	fjaa
蕧	fcei
蝜	fcia
鍑	fjuo
鍢	fjuo
蚹	fcia
輹	fcei
禣	fnoa
褔	fnoa
椱	fmei
媍	fnau
婏	fnau
復	fcuu
秿	fhue
萯	fcei
蛗	fcui
覄	fxei
詂	fyoe
皐	gbui
髙	gwoe
臯	gzui
滜	gdoo
睪	gzia
餻	gsuo
櫜	gmei
韟	gwai
鷎	gnui
鷎	lnui
鼛	gkei
鷱	gnui
夰	gdeu
槓	gmei
焵	ghou
罁	gfue
鎠	gjuo
堈	gtei
掆	gfei
釭	gjuo
棡	gmei
犅	gnue
堽	gtei
汵	gdoo
盰	gmia
倝	grei
凎	gdoe
詌	gyoe
骭	ggia
榦	gsei
榦	hsei
檊	gmei
罓	wkia
冮	gdoe
阬	gvai
阬	kvai
灨	gdoo
牨	gnue
疘	gboe
矼	gseu
矼	qseu
袼	lnoa
牱	gnue
犵	jqua
犵	gqua
圪	ytei
纥	gjaa
戓	gkei
肐	gvua
牫	gnue
彁	ggae
謌	gyoe
鎶	kjuo
呄	gkau
佮	grui
匌	gbua
挌	gfei
茖	gcei
滒	gdoo
戨	ggei
閤	gmia
閤	hmia
鴐	jnau
鴐	gnau
鴚	gnui
羙	myou
菒	gcei
稁	gwoe
槹	gmei
橰	gmei
槀	gmoe
獔	hqua
稾	ghoe
筶	gpue
暠	gqia
暠	hqia
禞	gnoa
峼	gsia
祮	jnoa
祰	gnoa
檺	gmei
藳	ghei
吿	gnue
勂	hlue
隭	vvai
髵	vbei
栮	vmei
毦	vvei
轜	vcei
尒	vruo
尓	vxue
佴	nrui
刵	vvei
咡	vkia
弍	vvee
弐	vvee
駬	vmei
薾	vcei
貮	vbee
衈	vxui
沷	fdoo
発	fdao
煾	vhou
峎	lsia
峎	vsia
讍	vyoe
鑩	vjuo
鞥	vgei
鞥	ygei
仒	bruo
乻	vzoe
旕	vfoe
儿	npua
奀	ddeu
奀	vdeu
奀	mdeu
粫	vmou
聏	vvei
輀	vcei
児	vvii
侕	vrui
陑	vvai
峏	vsia
洏	vdoo
耏	vpeu
荋	vcei
栭	vmei
胹	vvua
唲	vkia
唲	wkia
袻	vnoa
阸	vvai
呝	vkia
砐	vseu
歺	vbie
屵	vsia
戹	vhoa
岋	vsia
阨	vvai
姶	vnau
姶	ynau
峉	vsia
匎	vbua
砨	vseu
蚅	vcia
堮	vtei
崿	vsia
湂	vdoo
阏	vmoi
咢	vkia
咹	vkia
悪	vxei
硆	vseu
偔	vrui
卾	vvia
詻	vyoe
僫	vrui
蝁	vcei
蕚	vcei
遻	vlia
遻	wlia
頞	vyoo
豟	vseu
軶	vcei
遌	vlia
廅	vgoe
廅	hgoe
搤	vfei
搹	vfei
琧	vhei
頟	vyua
擜	vfei
覨	vjia
歞	vqia
歞	kqia
餩	vsuo
櫮	vmei
鰐	vvua
逇	dlei
盾	smuu
腞	dvua
腞	zvua
碷	dseu
遯	dlua
憞	dloo
潡	ddoo
蜳	dcia
撉	dsoe
橔	tmei
橔	dmei
犜	dnue
伅	drui
庉	tgoe
庉	dgoe
蹾	dzia
驐	dmei
椯	dmei
趓	dzei
躱	dsui
挅	dfei
挆	dfei
埵	dtei
缍	cjaa
嚉	dkia
仛	trui
剫	dloe
鮵	dvua
踲	dzia
凙	ddoe
敓	dwuo
敚	dwou
喥	dkia
敪	dwao
痥	dboe
鈬	djuo
茤	dcei
剟	dlao
崜	dsia
敠	dqao
毲	dmao
哆	ckia
夛	dxae
刴	dlau
堕	htai
跢	dzia
跥	dzia
嶞	dsai
憜	dloo
墯	dtoo
鵽	dnao
妸	vnau
妿	vnau
娿	vnai
沲	ddoo
陊	dvai
陏	dvai
饳	dsua
垜	dtei
尮	dyeu
柮	dmei
桗	dmei
朶	dmau
亸	dwoe
軃	dsui
鬌	dbei
鬌	tbei
噁	vkia
噁	wkia
騀	vmei
鵈	vvei
魤	vvua
鵞	vnue
譌	vyoe
枙	vmei
砈	vseu
磀	vseu
誐	vyoe
珴	vwee
皒	vbui
睋	vmia
鈋	vjuo
吪	vkia
囮	vkia
囮	ykia
迗	vlee
峩	vsia
涐	vdoo
淓	fdoo
蚄	fcia
堏	ftei
趽	fzia
牥	fnue
錺	fjuo
鴋	ffoe
埅	ftai
房	phoa
軬	fsao
嬔	fnau
瀪	fsue
盕	fmoo
笵	fpue
飰	fsuo
滼	fdoo
嬎	fnau
瀿	fdoo
氾	fdoo
仮	frui
払	ffei
辺	flau
訉	fyoe
軓	fcei
奿	fnua
汎	fdoo
緐	pxue
緐	fxue
璠	fwee
膰	fvua
薠	fcei
鐇	fjuo
蠜	fcei
鷭	fnuo
襎	fnoa
繙	fjaa
羳	fyou
疺	fboe
茷	fcei
瞂	fyuu
姂	fnau
誀	vyoe
樲	vmei
彂	fsii
髪	fbei
橃	fmei
醗	fyei
鍅	fjuo
灋	fdoo
栰	fmei
傠	frui
罸	fzia
藅	fcei
佱	fruo
趰	vzei
髮	fbei
勫	fluo
噃	fkia
墦	ftei
嬏	fnau
舤	fzuu
棥	fmei
蕃	bcei
橎	fmei
籵	fmou
忛	floo
犿	hqua
舧	fzuu
笲	fpue
憣	floo
旙	ffoe
旛	ffoe
凢	fjuu
凣	fjiu
匥	fkea
杋	fmei
柉	fmei
柉	bmei
轓	fcei
颿	fmei
籓	bpue
籓	fpue
飜	fpuo
鱕	fvua
帉	fjia
昐	fqia
玢	bwee
蕟	fcei
曊	fqia
癈	fboe
鼣	fsui
濷	fsia
櫠	fmei
鐨	fjuo
靅	fveo
竕	floe
衯	pnoa
衯	fnoa
翂	fvao
棻	fmei
訜	fyoe
躮	fsui
枌	fmei
炃	fhuo
肦	bvua
梤	fmei
羒	fyou
蚠	fcuo
蚡	fcia
羵	fyou
鼖	fsei
蒶	fcei
馚	fhue
隫	fvai
坋	ftei
坋	btei
弅	fnuo
轒	fcei
鐼	fjuo
馩	fhue
黂	fmoe
妢	fnau
岎	fsia
鈖	fjuo
雰	fveo
朆	fbou
餴	fsuo
饙	fsuo
坆	mtei
幩	fjia
蕡	fcei
魵	fvua
鳻	fnuo
橨	fmei
燌	fhou
燓	fhei
豮	fseu
杮	bmei
肺	pvua
昲	fqia
俷	frui
剕	flie
厞	fceu
疿	fboe
屝	fsae
萉	fcei
廃	fgoe
暃	fqia
蜰	fcua
蟦	fcia
朏	fvua
胐	kvua
胐	fvua
飝	fzau
奜	fdie
蕜	fcei
棐	fmie
餥	fsie
馡	fhue
騑	fmei
騛	fmei
猆	fqie
靟	fmie
裶	fnoa
婓	fnie
婔	fnau
渄	fdoo
髣	fbei
鶭	fnaa
彷	fcuu
昉	fqia
昘	fqia
瓬	ffoe
眆	fmia
倣	frui
旊	ffoe
疉	dtia
氎	dmia
哋	dkia
昳	yqia
昳	dqia
眰	dmia
嚸	dkia
甼	dtia
盯	cmia
帄	djia
耵	tvei
靪	dgei
奵	dnau
嵿	dsia
鼑	dbie
薡	dcei
鐤	djuo
忊	dloo
饤	dsua
矴	dseu
颩	dfua
颩	bfua
磸	dseu
顁	dyoo
萣	dcei
椗	dmei
碠	dseu
聢	dvei
聣	dvei
倲	drui
苳	dcei
昸	dqia
埬	dtei
娻	dnau
崬	dsia
涷	ddoo
笗	dpue
菄	dcei
氭	dque
蝀	dcia
鮗	dvua
鼕	dtei
鯟	dvua
姛	tnau
峝	dsia
峝	tsia
鶫	dnei
墥	dtei
嬞	dnau
箽	dpue
蕫	dcei
蕫	tcei
諌	dyoe
迵	tlia
迵	dlia
挏	dfei
硐	tseu
湩	zdoo
湩	ddoo
戙	dgia
戙	tgia
艔	dzuu
乧	ddoo
阧	dvai
橷	dmei
兠	dvui
働	drui
詷	tyoe
駧	dmei
霘	dveo
吺	dkia
剅	ddei
剅	ldei
唗	dkia
钭	djue
枓	dmei
郖	ddei
浢	ddoo
荳	dcei
梪	dmei
毭	ddei
脰	dvua
酘	dyei
酘	tyei
芏	tcei
妬	dnau
靯	dgei
荰	dcei
秺	dhue
帾	djia
琽	dwee
覩	djei
鑟	djuo
韇	dgei
韥	dwai
豄	dbuo
贕	dpua
韣	dwai
讟	dyoe
厾	dzae
殰	ddeu
瓄	dwee
皾	dpei
皾	mpei
騳	dmei
涜	ddoo
斣	cdia
闘	dmia
裻	dyie
読	dyoe
蝳	dcia
錖	djie
凟	ddoe
匵	dkee
嬻	dnau
閗	dmia
饾	dsua
鬦	ddee
鋀	djuo
醏	dyei
鬪	ddee
鬬	ddee
鬭	ddee
剢	cleu
剢	zleu
阇	smoi
阇	dmoi
躖	dzia
毈	dsua
叾	dkai
垖	dtei
陮	dvai
兊	dbuo
対	dwoe
祋	dnoa
祋	snoa
瀩	ddoo
譈	dyoe
濧	ddoo
薱	dcei
綐	djaa
墪	dtoe
壿	ctei
壿	ztei
撴	dfei
獤	dqua
惇	dloo
譵	dyoe
吨	tkia
煅	yhou
瑖	dwee
腶	dvua
碫	dseu
葮	dcei
塠	dtei
嵟	dsia
痽	dboe
磓	dseu
頧	dyui
鴭	dnui
鴭	znui
鐜	djoe
耑	dsia
耑	zsia
偳	drui
媏	dnau
端	zloe
螙	dmei
殬	ddeu
蠧	dtei
褍	dnoa
鍴	djuo
塅	dtei
畳	dtia
臷	dgei
詄	dyoe
趃	dzei
幉	djia
惵	dloo
揲	yfei
曡	dqia
曢	dqia
蹀	xzia
疂	dtia
镻	dzei
嵽	dsia
殜	ydeu
牃	dzai
蜨	dcia
褋	dnoa
艓	dzuu
鈟	djuo
竨	dloe
窎	dxoo
訋	dyoe
雿	dveo
雿	zveo
瘹	dboe
窵	dxoo
鋽	djuo
藋	dcei
鑃	djuo
眣	dmia
耊	dtei
啑	dkia
啑	jkia
啑	skia
啑	tkia
戜	dgei
峌	dsia
恎	dloo
挕	dfei
绖	djaa
胅	dvua
褺	dyei
苵	dcei
蒧	zcei
蒧	dcei
蕇	dcei
齻	dcie
奌	ddie
婰	dnau
敟	dwia
椣	dmei
阽	dvai
甸	tbua
钿	tjue
唸	nkia
婝	dnau
扂	dhoa
蜔	dcia
簓	dpue
鼦	dsui
鵰	dnua
扚	dfei
弔	dgae
伄	drui
驔	dmei
鮉	dvua
鳭	ddau
殦	ddeu
瞗	dmia
磹	dseu
磹	tseu
琔	dwee
壂	dtae
橂	dmei
汈	ddoo
刟	dlau
虭	dcia
奝	ddeu
弴	dgae
彫	dpua
蛁	dcia
琱	dwee
鯳	dvua
埊	dsia
菂	dcei
釱	djuo
媂	dnau
僀	drui
禘	dnoa
腣	dvua
逓	dluu
偙	drui
啇	dwoe
梊	dmei
焍	dhou
焍	thou
眱	ymia
祶	dnoa
旳	dqia
杕	dmei
玓	dwee
怟	dloo
枤	dmei
苐	dcei
俤	drui
蔕	dcei
蝃	zcia
蝃	dcia
遰	zleu
遰	dleu
慸	dxeu
甋	dwoe
鉪	djuo
馰	dmei
墑	dtei
墬	dtai
墬	ztai
摕	dfei
嶳	dsia
踶	dzia
螮	dcia
敁	dqie
槙	dmei
瘨	dboe
傎	drui
厧	dceu
嵮	tsia
顚	dyua
蹎	dzia
巓	dsia
攧	dfei
阺	dvai
呧	dkia
厎	dceu
厎	zceu
髢	dbei
鸐	dnao
蔋	dcei
蔐	dcei
頔	dyia
魡	dvua
篴	dpue
嚁	dkia
藡	dcei
豴	dseu
牴	dnue
軧	dcei
聜	dvei
弚	tbou
弚	dbou
坔	dsia
掋	dfei
菧	dcei
觝	djua
拞	dfei
弤	dgae
隄	dvai
隄	tvai
堤	ttei
趆	dzei
奃	ddeu
彽	ccuu
彽	dcuu
袛	dnoa
啲	dkia
埞	dtei
磾	dseu
鍉	cjuo
鍉	djuo
鍉	sjuo
鞮	dgei
苖	dcei
唙	dkia
廸	dlia
肑	bvua
靮	dgei
梑	dmei
嘚	dkia
徳	dcuu
鍀	djuo
揼	bfei
扥	dfei
扥	tfei
扽	dfei
艠	dzuu
覴	djao
璒	dwee
竳	dloe
嬁	dnau
豋	ddua
仾	drui
櫈	dmei
隥	dvai
墱	dtei
僜	drui
菿	dcei
椡	dmei
宲	dgoo
隯	dvai
壔	dtei
嶹	dsia
擣	dfei
恴	dxoe
翿	dvei
軇	dsui
瓙	dwee
淂	ddoo
悳	dxeu
惪	dxei
衜	dcuu
檤	dmei
衟	dcuu
稲	dhue
翢	dvua
翢	tvua
噵	dkou
舠	dzuu
釖	zjuo
釖	djuo
鱽	dvua
捯	dfei
陦	dvai
禂	cnoa
禂	dnoa
隝	dvai
嶋	dsia
嶌	dsia
槝	dmei
朷	mmei
屶	dsia
忉	lloo
瞊	dmia
趤	dzei
璗	ddoo
盪	dmoo
礑	dseu
簜	dpue
蘯	dmei
闣	dmia
婸	ynau
瓽	dwio
逿	dlia
雼	dveo
潒	xdoo
潒	ddoo
圵	dtei
垱	dtei
攩	dfei
灙	ddoo
欓	dmei
譡	dyoe
筜	dpue
艡	dzuu
蟷	dcia
憺	dloo
珰	dwee
儅	drui
噹	dkia
澢	ddoo
紞	djaa
澸	ddoo
黕	zhia
黕	dhia
亶	dwoe
馾	dmei
衴	dnoa
襌	cnoa
襌	dnoa
匰	dkei
砃	dseu
耼	dvei
褝	dnoa
媅	dnau
頕	dyie
勯	dloe
勯	zloe
聸	dvei
伔	crui
伔	zrui
刐	dlua
狚	dqua
玬	dwee
瓭	dwoa
啿	dkia
啗	dkia
柦	dmei
疍	dyai
訑	yyoe
訑	tyoe
帎	djia
沊	dsoa
泹	ddoo
禫	dnoa
禫	tnoa
餤	dsuo
餤	tsuo
駳	dmei
鴠	dnia
甔	dwua
癚	dboe
嚪	dkia
贉	dbia
贉	tbia
霮	dveo
饏	dsae
腅	dvua
蜑	dcui
觛	djua
窞	dxoo
僤	drui
噉	dkia
髧	dbei
嘾	dkia
妉	dnau
蚮	dcia
単	dxoo
躭	dsui
酖	zyei
酖	dyei
軚	dcei
艜	dzuu
簤	dpue
蹛	dzia
瀻	ddoo
霴	dveo
襶	dnoa
黱	dvua
傣	trui
帒	djui
獃	dqia
懛	tloo
歹	vheu
汏	ddoo
汏	tdoo
轪	dcea
侢	drui
垈	ftui
帯	djei
柋	dmui
軩	dcei
瑇	dwee
廗	dgoe
叇	dvee
曃	dqia
緿	djaa
鮘	dvua
鴏	dnui
龖	dloe
龘	dloe
大	theu
亣	ddoe
眔	dzia
橽	dmei
逹	dlei
溚	tdoo
跶	dzia
跶	tzia
鐽	djuo
撘	dfei
鎝	djuo
鎝	tjuo
詚	dyoe
燵	dhou
繨	djaa
蟽	dcia
鎉	tjuo
鎉	djuo
达	tleu
迏	dleu
迖	dleu
迖	tleu
呾	dkia
呾	jkia
垯	dtei
炟	dhou
羍	ddeu
羍	tdeu
荅	dcei
荙	dcei
剳	zlei
匒	dbua
夎	zwuo
夎	cwuo
莝	ccei
莡	ccei
蓌	cwei
逪	clei
棤	xmei
畣	dtuo
齹	ccou
咑	dkia
剉	cluo
剒	clei
蒫	ccei
蔖	ccei
睉	cmia
嵳	csia
醝	cyei
髊	cgia
虘	chie
墫	ctei
墫	ztei
澊	cdoo
竴	cloe
拵	cfei
拵	tfei
踆	qzia
踆	czia
刌	clei
綷	zjaa
綷	cjaa
瑳	cwee
遳	clei
吋	ckia
籿	cmou
熶	chou
槯	cmei
獕	cqua
磪	cseu
趡	czei
皠	cbui
伜	zrui
忰	cloo
疩	cboe
倅	crui
倅	zrui
紣	cjaa
翆	cvao
脃	cvua
焠	chou
啛	ckia
鏙	cjuo
乼	czoo
漼	cdoo
膵	cvua
膬	cvua
竁	cxoo
襊	cnoa
顇	zyoe
顇	cyoe
臎	cvua
邨	cvea
觕	cnue
麁	cdua
麄	cluo
麤	cloe
悤	cxui
棇	cmei
焧	chou
灇	cdoo
欉	cmei
爜	chou
憁	cloo
謥	cyoe
誎	cyoe
趗	czei
噈	ckia
噈	zkia
憱	cloo
踧	czia
踧	dzia
媨	cnau
瘄	cboe
瘯	cboe
汆	tsuo
蹵	jzoe
蹵	czoe
顣	cyeu
顣	qyeu
縬	cjaa
鼀	ctei
殩	cdeu
篹	cpue
篹	zpue
簒	cpue
攅	cfei
櫕	cmei
巑	csia
欑	cmei
欑	zmei
穳	chue
凗	cdoe
缞	cjaa
缞	sjaa
墔	ctei
嶉	zsia
慛	cloo
緫	zjaa
緫	cjaa
聦	cvei
瞛	cmia
篵	cpue
暰	cqia
樬	cmei
熜	zhou
熜	chou
瑽	cwee
慒	cloo
漎	cdoo
潀	cdoo
潀	zdoo
潈	zdoo
潨	cdoo
誴	cyoe
賨	cboo
賩	cbia
樷	cmei
藂	ccei
従	ccuu
婃	cnau
孮	czai
徖	ccuu
悰	cloo
蟌	ccia
繱	cjaa
鏦	cjuo
騘	cmei
忩	cxuo
从	zruo
鷀	cnou
嗭	csei
茐	ccei
怱	cxua
楤	cmei
漗	cdoo
聡	cvei
鹚	znou
佽	crui
赐	sbia
螆	ccia
刾	cleo
庛	cgoe
茦	ccei
栨	cmei
栨	jmei
莿	ccei
絘	cjaa
蛓	ccei
熛	bhou
麃	bloe
麃	ploe
諘	byoe
褾	bnoa
錶	bjuo
檦	bmei
俵	brui
摽	bfei
摽	pfei
飇	bfua
飈	bfua
飊	bfou
咇	bkia
莂	bcei
蛂	bcia
徶	bcuu
襒	bnoa
蟞	bcou
鼈	bmou
虌	bmei
龞	bdio
骉	bmaa
杓	bmei
辪	xxie
淲	pdoo
淲	bdoo
淲	hdoo
猋	bqeu
脿	bvua
墂	btei
幖	bjia
滮	bdoo
蔈	bcei
蔈	pcei
儦	brui
颷	bfua
瀌	bdoo
藨	bcei
藨	pcei
謤	byoe
爂	bhui
臕	bvua
贆	bbia
稨	bhue
炞	bhou
惼	bloo
糄	bmou
鴘	pnao
鴘	bnao
藊	bcei
釆	cmuo
釆	bmuo
峅	bsia
抃	bfei
汳	bdoo
遍	ploa
閞	bmia
辡	bxoe
艑	bzuu
頨	pvao
頨	yvao
辧	bxoe
変	bwoe
昪	bqia
覍	bxiu
徧	bcuu
揙	bfei
缏	pjaa
牑	bpui
甂	bwoa
箯	bpue
奰	bdia
萹	pcei
萹	bcei
猵	bqua
鐴	bjuo
驆	bmei
鷝	bnia
鷩	bnou
鼊	bmae
獱	bqua
邉	blui
鍽	bjuo
鯾	bvua
柀	bmei
俾	prui
粃	bmou
粊	bbea
啚	bkia
聛	bvei
貏	bzuo
匂	bbua
柲	bmei
比	phea
嬶	bnau
沘	bdoo
沘	pdoo
疕	bboe
夶	bdeu
朼	bmei
佊	brui
梐	bmei
袐	bnoa
萞	bcei
閇	bmia
愊	bloo
堛	btei
弻	bgae
畁	bsia
苾	bcei
珌	bwee
疪	bboe
胇	fvua
诐	byoa
邲	bvoa
妼	bnau
怭	bloo
枈	bbea
佖	brui
坒	bbea
滭	bdoo
煏	bhou
彃	bgae
楅	bmei
痺	bboe
腷	bvua
貱	bbia
赑	bbia
湢	bdoo
皕	bheu
禆	bnoa
蜌	bcia
閟	bmae
飶	bsuo
熚	bhou
獙	bqua
稫	fhue
稫	bhue
鄪	bvae
馝	bhue
幤	bjio
箆	bpue
綼	bjaa
廦	bgoe
獘	bqou
罼	bzia
襅	bnoa
駜	bmei
髲	pbei
髲	bbei
觱	bjeu
鮅	bvua
縪	bjaa
濞	pdoo
鞞	bgei
鄨	bdou
饆	bsuo
繴	bxae
襣	bnoa
鏎	bjuo
鞸	bgei
韠	bwai
躃	bzia
躄	bzae
魓	bgui
誧	byoe
誧	pyoe
餔	bsuo
轐	bcei
轐	pcei
糪	bmae
譒	byoe
蘗	bcei
蘗	ncei
蔔	bcei
峬	bsia
庯	bgoe
愽	bloo
鑮	bjuo
蚾	bcia
孹	bzae
箥	ppue
馞	bhue
駮	bmei
犦	bnue
髆	bgia
髉	bgia
欂	bmei
襮	bnoa
鋍	bjuo
镈	bjue
壆	xtui
艊	bzuu
馛	bhue
豰	gsei
豰	hsei
嚗	bkia
懪	bloo
礡	bseu
簙	bpue
湐	bdoo
葧	bcei
猼	bqua
馎	bsua
鲌	bvua
僰	brei
煿	bhou
牔	bpui
礸	zseu
礸	cseu
遪	clao
囃	ckia
偲	srui
偲	crui
攃	sfei
纔	cjaa
戝	zbia
棌	cmei
跴	czia
綵	cjaa
採	cfei
倸	crui
埰	ctei
婇	cnau
寀	cgoo
寀	sgoo
醭	pyei
佈	brui
吥	bkia
吥	pkia
鳪	bbio
獛	bqua
鵏	bnei
鸔	bnui
不	dheu
不	fheu
瓿	pwoe
廍	bgoe
蔀	bcei
踄	bzia
郶	bloe
篰	bpue
餢	bsuo
勏	ploe
埗	btei
悑	bloo
捗	bfei
荹	bcei
歨	bnie
歩	bnie
咘	bkia
栟	bmei
掤	bfei
梹	bmei
鋲	bjuo
髩	bbei
霦	bveo
鬂	bbei
陃	bvai
怲	bloo
抦	bfei
苪	bcei
昞	bqia
昺	bqia
仌	bruo
氷	bsoi
眪	bmia
窉	bxoo
蛃	bcia
棅	bmei
璸	bwee
蠙	bcia
蠙	pcia
鑌	bjuo
顮	byoo
氞	bque
賔	bgoo
濒	pdoo
濵	bdoo
虨	bpie
椕	bmei
瑸	bwee
豩	bseu
穮	bhue
汃	bdoo
汃	pdoo
邠	bvuo
砏	fseu
砏	pseu
桲	pmei
桲	bmei
淿	mdoo
挬	bfei
浡	bdoo
瓟	pguu
瓟	bguu
秡	bhue
狛	bqua
瓝	bguu
苩	bcei
侼	brui
柭	bmei
胉	bvua
郣	bvei
犻	bqua
磻	pseu
蹳	bzia
驋	bmei
鱍	bvua
仢	srui
袰	bmaa
碆	bsoo
鉢	bjuo
僠	frui
嶓	bsia
紴	bjaa
盋	bmeu
砵	bseu
袚	bnoa
袚	fnoa
袯	bnoa
誁	byoe
鮩	bvua
靐	bveo
波	pdoo
癷	bdao
鈵	bjuo
鉼	bjuo
鞆	bgei
餠	bsuo
燷	lhou
竝	bloe
偋	brui
傡	brui
寎	bgoo
併	brui
幷	bdue
垪	btei
庰	bgoe
倂	brui
栤	pmei
猈	bqua
猈	pqua
攽	bwuo
朌	bvua
粺	bmou
鞁	bgei
鞁	tgei
薭	bcei
贁	bwia
韛	bwai
兡	bsei
兡	ksei
瓸	bwea
瓸	wwea
辬	bxoe
岅	bsia
昄	bqia
瓪	bwea
螁	bcia
螁	tcia
螌	bcuu
褩	byuu
斒	bwoe
粄	bmou
蝂	bcia
魬	bvua
魬	fvua
闆	bmia
秚	bhue
湴	bdoo
姅	bnau
怑	bloo
邫	bvee
幇	bjei
幚	bjee
縍	bjaa
榜	pmei
牓	bpui
鉡	bjuo
靽	bgei
峀	bsia
垹	btei
捠	bfei
龅	pcie
蕔	bcei
佨	brui
艕	bzuu
玤	bwee
鞤	bgei
棓	bmei
棓	pmei
硥	bseu
硥	mseu
蒡	pcei
蜯	bcia
傍	prui
塝	btei
徬	pcuu
稖	bhue
駂	bmua
鳵	bnae
緥	bjaa
寚	bgoo
飹	lsuo
珤	bwee
靌	bveo
勽	bbua
賲	bbui
藵	bcei
寳	bgoo
